"","asexual_iRBC_log","RBC_log","transmssion_investment"
"623",0.0135834694388778,6.24448897795591,0
"624",0.0135834694388778,6.24649298597194,0
"625",0.0135834694388778,6.24849699398798,0
"626",0.0135834694388778,6.25050100200401,0
"627",0.0135834694388778,6.25250501002004,0
"628",0.0135834694388778,6.25450901803607,0
"629",0.0135834694388778,6.2565130260521,0
"630",0.0135834694388778,6.25851703406814,0
"631",0.0135834694388778,6.26052104208417,0
"632",0.0135834694388778,6.2625250501002,0
"633",0.0135834694388778,6.26452905811623,0
"634",0.0135834694388778,6.26653306613226,0
"635",0.0135834694388778,6.2685370741483,0
"636",0.0135834694388778,6.27054108216433,0
"637",0.0135834694388778,6.27254509018036,0
"638",0.0135834694388778,6.27454909819639,0
"639",0.0135834694388778,6.27655310621242,0
"640",0.0135834694388778,6.27855711422846,0
"641",0.0135834694388778,6.28056112224449,0
"642",0.0135834694388778,6.28256513026052,0
"643",0.0135834694388778,6.28456913827655,0
"644",0.0135834694388778,6.28657314629258,0
"645",0.0135834694388778,6.28857715430862,0
"646",0.0135834694388778,6.29058116232465,0
"647",0.0135834694388778,6.29258517034068,0
"648",0.0135834694388778,6.29458917835671,0
"649",0.0135834694388778,6.29659318637275,0
"650",0.0135834694388778,6.29859719438878,0
"651",0.0135834694388778,6.30060120240481,0
"652",0.0135834694388778,6.30260521042084,0
"653",0.0135834694388778,6.30460921843687,0
"654",0.0135834694388778,6.30661322645291,0
"655",0.0135834694388778,6.30861723446894,0
"656",0.0135834694388778,6.31062124248497,0
"657",0.0135834694388778,6.312625250501,0
"658",0.0135834694388778,6.31462925851703,0
"659",0.0135834694388778,6.31663326653307,0
"660",0.0135834694388778,6.3186372745491,0
"661",0.0135834694388778,6.32064128256513,0
"662",0.0135834694388778,6.32264529058116,0
"663",0.0135834694388778,6.32464929859719,0
"664",0.0135834694388778,6.32665330661323,0
"665",0.0135834694388778,6.32865731462926,0
"666",0.0135834694388778,6.33066132264529,0
"667",0.0135834694388778,6.33266533066132,0
"668",0.0135834694388778,6.33466933867735,0
"669",0.0135834694388778,6.33667334669339,0
"670",0.0135834694388778,6.33867735470942,0
"671",0.0135834694388778,6.34068136272545,0
"672",0.0135834694388778,6.34268537074148,0
"673",0.0135834694388778,6.34468937875751,0
"674",0.0135834694388778,6.34669338677355,0
"675",0.0135834694388778,6.34869739478958,0
"676",0.0135834694388778,6.35070140280561,0
"677",0.0135834694388778,6.35270541082164,0
"678",0.0135834694388778,6.35470941883768,0
"679",0.0135834694388778,6.35671342685371,0
"680",0.0135834694388778,6.35871743486974,0
"681",0.0135834694388778,6.36072144288577,0
"682",0.0135834694388778,6.3627254509018,0
"683",0.0135834694388778,6.36472945891784,0
"684",0.0135834694388778,6.36673346693387,0
"685",0.0135834694388778,6.3687374749499,0
"686",0.0135834694388778,6.37074148296593,0
"687",0.0135834694388778,6.37274549098196,0
"688",0.0135834694388778,6.374749498998,0
"689",0.0135834694388778,6.37675350701403,0
"690",0.0135834694388778,6.37875751503006,0
"691",0.0135834694388778,6.38076152304609,0
"692",0.0135834694388778,6.38276553106212,0
"693",0.0135834694388778,6.38476953907816,0
"694",0.0135834694388778,6.38677354709419,0
"695",0.0135834694388778,6.38877755511022,0
"696",0.0135834694388778,6.39078156312625,0
"697",0.0135834694388778,6.39278557114228,0
"698",0.0135834694388778,6.39478957915832,0
"699",0.0135834694388778,6.39679358717435,0
