"label","fitness_optimized","fitness_randomized"
"Gametocyte log (G log)",9.561373,3.51708915080458
"Gametocyte log (G log)",9.561373,3.06745915770883e-05
"Gametocyte log (G log)",9.561373,0.0178862803781908
"Gametocyte log (G log)",9.561373,0.00440347199181989
"Gametocyte log (G log)",9.561373,3.55172388058616e-26
"Gametocyte log (G log)",9.561373,0.173465593156559
"Gametocyte log (G log)",9.561373,0.111177592087571
"Gametocyte log (G log)",9.561373,1.6231572552978
"Gametocyte log (G log)",9.561373,0.00439470840396764
"Gametocyte log (G log)",9.561373,0.0080310506635037
"Gametocyte log (G log)",9.561373,0.00469985844649392
"Gametocyte log (G log)",9.561373,4.20434215530596
"Gametocyte log (G log)",9.561373,0.00446360056896693
"Gametocyte log (G log)",9.561373,0.00645470126374844
"Gametocyte log (G log)",9.561373,2.34399418107272e-10
"Gametocyte log (G log)",9.561373,1.29760088133423e-31
"Gametocyte log (G log)",9.561373,1.34166483770349e-76
"Gametocyte log (G log)",9.561373,0.00440735710914556
"Gametocyte log (G log)",9.561373,0.0049709157636183
"Gametocyte log (G log)",9.561373,3.92294027290889e-18
"Gametocyte log (G log)",9.561373,0.00029969794229807
"Gametocyte log (G log)",9.561373,0.0820938233337526
"Gametocyte log (G log)",9.561373,0.370414697244344
"Gametocyte log (G log)",9.561373,2.26321536474642e-07
"Gametocyte log (G log)",9.561373,0.0618399169751378
"Gametocyte log (G log)",9.561373,0.581116672264169
"Gametocyte log (G log)",9.561373,3.12887240668617e-28
"Gametocyte log (G log)",9.561373,4.12829140179241e-29
"Gametocyte log (G log)",9.561373,7.56620561415454e-42
"Gametocyte log (G log)",9.561373,0.00439736693979853
"Gametocyte log (G log)",9.561373,0.572923184467787
"Gametocyte log (G log)",9.561373,7.89571427212482e-31
"Gametocyte log (G log)",9.561373,4.83206986209218e-05
"Gametocyte log (G log)",9.561373,0.0190589980929303
"Gametocyte log (G log)",9.561373,3.01465503915058e-33
"Gametocyte log (G log)",9.561373,1.61614677152782
"Gametocyte log (G log)",9.561373,0.035796868551522
"Gametocyte log (G log)",9.561373,8.37697773769465e-10
"Gametocyte log (G log)",9.561373,1.36284869595582
"Gametocyte log (G log)",9.561373,0.00452461437945687
"Gametocyte log (G log)",9.561373,0.00446912156738461
"Gametocyte log (G log)",9.561373,4.31344270669382e-34
"Gametocyte log (G log)",9.561373,0.0093166481018546
"Gametocyte log (G log)",9.561373,0.0043948093576582
"Gametocyte log (G log)",9.561373,3.97947407648506e-73
"Gametocyte log (G log)",9.561373,0.0318536928747225
"Gametocyte log (G log)",9.561373,3.71326839184487e-23
"Gametocyte log (G log)",9.561373,7.58361275333678e-05
"Gametocyte log (G log)",9.561373,0.719251563444755
"Gametocyte log (G log)",9.561373,1.49341728469446
"Gametocyte log (G log)",9.561373,0.00441022790680137
"Gametocyte log (G log)",9.561373,2.49739292241222
"Gametocyte log (G log)",9.561373,1.17244715883991e-25
"Gametocyte log (G log)",9.561373,0.00903473817486408
"Gametocyte log (G log)",9.561373,4.63478435014987e-08
"Gametocyte log (G log)",9.561373,0.00440499944091128
"Gametocyte log (G log)",9.561373,2.17105707223464e-13
"Gametocyte log (G log)",9.561373,0.449353942146051
"Gametocyte log (G log)",9.561373,3.59774847048247e-70
"Gametocyte log (G log)",9.561373,0.00444326132254246
"Gametocyte log (G log)",9.561373,8.11201548253909e-13
"Gametocyte log (G log)",9.561373,2.50722296979362
"Gametocyte log (G log)",9.561373,1.70513180019956
"Gametocyte log (G log)",9.561373,0.00442662309601055
"Gametocyte log (G log)",9.561373,8.86606622078179e-31
"Gametocyte log (G log)",9.561373,1.80568536421939
"Gametocyte log (G log)",9.561373,0.648037968129775
"Gametocyte log (G log)",9.561373,0.00443734582380071
"Gametocyte log (G log)",9.561373,3.67238572304441
"Gametocyte log (G log)",9.561373,0.00941838887854136
"Gametocyte log (G log)",9.561373,0.00440845675965982
"Gametocyte log (G log)",9.561373,0.00466168936502492
"Gametocyte log (G log)",9.561373,1.47610789161001e-07
"Gametocyte log (G log)",9.561373,0.00638109642816763
"Gametocyte log (G log)",9.561373,1.2421388615925e-37
"Gametocyte log (G log)",9.561373,0.0773872946905056
"Gametocyte log (G log)",9.561373,2.45513016067435e-05
"Gametocyte log (G log)",9.561373,2.84699764739753
"Gametocyte log (G log)",9.561373,3.7674084456969
"Gametocyte log (G log)",9.561373,1.3378870753133e-10
"Gametocyte log (G log)",9.561373,2.83565610531047
"Gametocyte log (G log)",9.561373,2.64217745683332e-08
"Gametocyte log (G log)",9.561373,4.65198754891118e-12
"Gametocyte log (G log)",9.561373,0.000724767281624521
"Gametocyte log (G log)",9.561373,0.432033993365095
"Gametocyte log (G log)",9.561373,1.33091775079757e-09
"Gametocyte log (G log)",9.561373,7.1258118526774e-51
"Gametocyte log (G log)",9.561373,1.30507418501088
"Gametocyte log (G log)",9.561373,0.00439686423451429
"Gametocyte log (G log)",9.561373,0.00439491183284477
"Gametocyte log (G log)",9.561373,0.502990688850598
"Gametocyte log (G log)",9.561373,0.00484278948029677
"Gametocyte log (G log)",9.561373,0.00447116887191772
"Gametocyte log (G log)",9.561373,0.00452989557968419
"Gametocyte log (G log)",9.561373,0.00814197080838293
"Gametocyte log (G log)",9.561373,5.46484935276488e-08
"Gametocyte log (G log)",9.561373,1.68485472220303
"Gametocyte log (G log)",9.561373,1.41200975022492
"Gametocyte log (G log)",9.561373,4.48833950984516e-96
"Gametocyte log (G log)",9.561373,1.02554087243876e-09
"Gametocyte log (G log)",9.561373,1.52131383971686e-08
"Gametocyte log (G log)",9.561373,5.64703500996035e-08
"Gametocyte log (G log)",9.561373,2.38543176534011
"Gametocyte log (G log)",9.561373,0.00439722878650272
"Gametocyte log (G log)",9.561373,4.30081915823938e-39
"Gametocyte log (G log)",9.561373,7.86070882166951e-55
"Gametocyte log (G log)",9.561373,0.00440318248540721
"Gametocyte log (G log)",9.561373,0.0046021136320502
"Gametocyte log (G log)",9.561373,0.0141739087353398
"Gametocyte log (G log)",9.561373,2.81701728051616
"Gametocyte log (G log)",9.561373,3.4590923561435
"Gametocyte log (G log)",9.561373,2.99965684205625
"Gametocyte log (G log)",9.561373,7.0479870400266e-49
"Gametocyte log (G log)",9.561373,5.23517270395719e-26
"Gametocyte log (G log)",9.561373,2.10364152517715
"Gametocyte log (G log)",9.561373,8.40929827715327e-06
"Gametocyte log (G log)",9.561373,4.368269522613e-35
"Gametocyte log (G log)",9.561373,0.000195743726602191
"Gametocyte log (G log)",9.561373,0.167452257258751
"Gametocyte log (G log)",9.561373,1.39042308115038e-22
"Gametocyte log (G log)",9.561373,1.76201240246966
"Gametocyte log (G log)",9.561373,1.14023996302132
"Gametocyte log (G log)",9.561373,2.47869092093217e-27
"Gametocyte log (G log)",9.561373,3.78754871524821
"Gametocyte log (G log)",9.561373,0.00826780003220274
"Gametocyte log (G log)",9.561373,0.00441578326582648
"Gametocyte log (G log)",9.561373,1.33238542146135e-32
"Gametocyte log (G log)",9.561373,0.467930003649842
"Gametocyte log (G log)",9.561373,0.00469048117454367
"Gametocyte log (G log)",9.561373,4.25226828284297
"Gametocyte log (G log)",9.561373,1.50607256994693e-30
"Gametocyte log (G log)",9.561373,6.27087826249805e-24
"Gametocyte log (G log)",9.561373,1.0881104716126e-09
"Gametocyte log (G log)",9.561373,1.21140764254923e-88
"Gametocyte log (G log)",9.561373,0.487366159309236
"Gametocyte log (G log)",9.561373,0.00475677574017239
"Gametocyte log (G log)",9.561373,0.000304465594545145
"Gametocyte log (G log)",9.561373,0.00053263753003887
"Gametocyte log (G log)",9.561373,2.77651326050638
"Gametocyte log (G log)",9.561373,0.297795323802088
"Gametocyte log (G log)",9.561373,1.40647750903868e-18
"Gametocyte log (G log)",9.561373,1.41417873633083e-80
"Gametocyte log (G log)",9.561373,0.00439473583309495
"Gametocyte log (G log)",9.561373,0.00440946879679123
"Gametocyte log (G log)",9.561373,3.491265878494
"Gametocyte log (G log)",9.561373,0.112078308625976
"Gametocyte log (G log)",9.561373,6.67860013188734e-44
