"label","iter","parameter","value"
"Activation indis (ψn)",456,"iota_N1",69.2888024
"Activation targeted (ψw)",456,"iota_N2",1.71535317
"Half-life indis (ϕn)",456,"phi_N1",0.01500271
"Half-life targeted (ϕw)",456,"phi_N2",1512.738
"RBC replenishment (ρ)",457,"rho",0.31836517
"Burst size (β)",457,"burst",5.6298996
"Activation indis (ψn)",457,"iota_N1",81.6732522
"Activation targeted (ψw)",457,"iota_N2",0.98929021
"Half-life indis (ϕn)",457,"phi_N1",0.00484237
"Half-life targeted (ϕw)",457,"phi_N2",2024.88331
"RBC replenishment (ρ)",458,"rho",0.24865653
"Burst size (β)",458,"burst",4.14895369
"Activation indis (ψn)",458,"iota_N1",14.5985966
"Activation targeted (ψw)",458,"iota_N2",0.81627434
"Half-life indis (ϕn)",458,"phi_N1",0.02069053
"Half-life targeted (ϕw)",458,"phi_N2",143.50765
"RBC replenishment (ρ)",459,"rho",0.25200227
"Burst size (β)",459,"burst",3.99046203
"Activation indis (ψn)",459,"iota_N1",15.0891389
"Activation targeted (ψw)",459,"iota_N2",0.89646538
"Half-life indis (ϕn)",459,"phi_N1",0.01412991
"Half-life targeted (ϕw)",459,"phi_N2",539.69176
"RBC replenishment (ρ)",460,"rho",0.47633748
"Burst size (β)",460,"burst",4.61023545
"Activation indis (ψn)",460,"iota_N1",16.7641066
"Activation targeted (ψw)",460,"iota_N2",0.50582142
"Half-life indis (ϕn)",460,"phi_N1",0.01347101
"Half-life targeted (ϕw)",460,"phi_N2",733.250118
"RBC replenishment (ρ)",461,"rho",0.2118842
"Burst size (β)",461,"burst",4.47737801
"Activation indis (ψn)",461,"iota_N1",16.4132056
"Activation targeted (ψw)",461,"iota_N2",2.11868037
"Half-life indis (ϕn)",461,"phi_N1",0.19115904
"Half-life targeted (ϕw)",461,"phi_N2",605.522047
"RBC replenishment (ρ)",462,"rho",0.49199877
"Burst size (β)",462,"burst",6.13290236
"Activation indis (ψn)",462,"iota_N1",20.3398785
"Activation targeted (ψw)",462,"iota_N2",1.72495374
"Half-life indis (ϕn)",462,"phi_N1",0.05631239
"Half-life targeted (ϕw)",462,"phi_N2",1734.55988
"RBC replenishment (ρ)",463,"rho",0.37285288
"Burst size (β)",463,"burst",5.39955411
"Activation indis (ψn)",463,"iota_N1",15.4347129
"Activation targeted (ψw)",463,"iota_N2",1.17395901
"Half-life indis (ϕn)",463,"phi_N1",0.0424471
"Half-life targeted (ϕw)",463,"phi_N2",5571.02717
"RBC replenishment (ρ)",464,"rho",0.28196569
"Burst size (β)",464,"burst",4.08230888
"Activation indis (ψn)",464,"iota_N1",29.3037928
"Activation targeted (ψw)",464,"iota_N2",0.71567038
"Half-life indis (ϕn)",464,"phi_N1",0.02343799
"Half-life targeted (ϕw)",464,"phi_N2",589.859154
"RBC replenishment (ρ)",465,"rho",0.2810448
"Burst size (β)",465,"burst",3.93020733
"Activation indis (ψn)",465,"iota_N1",14.1577907
"Activation targeted (ψw)",465,"iota_N2",0.73963844
"Half-life indis (ϕn)",465,"phi_N1",0.02691166
"Half-life targeted (ϕw)",465,"phi_N2",326.174106
"RBC replenishment (ρ)",466,"rho",0.41426221
"Burst size (β)",466,"burst",4.74476169
"Activation indis (ψn)",466,"iota_N1",15.0364679
"Activation targeted (ψw)",466,"iota_N2",0.46630386
"Half-life indis (ϕn)",466,"phi_N1",0.01957602
"Half-life targeted (ϕw)",466,"phi_N2",657.692314
"RBC replenishment (ρ)",467,"rho",0.21669659
"Burst size (β)",467,"burst",4.6000375
"Activation indis (ψn)",467,"iota_N1",21.2745617
"Activation targeted (ψw)",467,"iota_N2",1.68361309
"Half-life indis (ϕn)",467,"phi_N1",0.09165743
"Half-life targeted (ϕw)",467,"phi_N2",653.268267
"RBC replenishment (ρ)",468,"rho",0.44039949
"Burst size (β)",468,"burst",6.03239207
"Activation indis (ψn)",468,"iota_N1",16.1234942
"Activation targeted (ψw)",468,"iota_N2",1.92789019
"Half-life indis (ϕn)",468,"phi_N1",0.06027486
"Half-life targeted (ϕw)",468,"phi_N2",259.471497
"RBC replenishment (ρ)",469,"rho",0.23997653
"Burst size (β)",469,"burst",5.56461807
"Activation indis (ψn)",469,"iota_N1",9.26231264
"Activation targeted (ψw)",469,"iota_N2",1.24464208
"Half-life indis (ϕn)",469,"phi_N1",0.02952114
"Half-life targeted (ϕw)",469,"phi_N2",289.550197
"RBC replenishment (ρ)",470,"rho",0.30175256
"Burst size (β)",470,"burst",4.00737665
"Activation indis (ψn)",470,"iota_N1",17.8627052
"Activation targeted (ψw)",470,"iota_N2",0.73410885
"Half-life indis (ϕn)",470,"phi_N1",0.02458244
"Half-life targeted (ϕw)",470,"phi_N2",1065.6819
"RBC replenishment (ρ)",471,"rho",0.24247145
"Burst size (β)",471,"burst",3.97711467
"Activation indis (ψn)",471,"iota_N1",10.1713151
"Activation targeted (ψw)",471,"iota_N2",0.87308681
"Half-life indis (ϕn)",471,"phi_N1",0.02946164
"Half-life targeted (ϕw)",471,"phi_N2",2227.5316
"RBC replenishment (ρ)",472,"rho",0.3579236
"Burst size (β)",472,"burst",4.76610803
"Activation indis (ψn)",472,"iota_N1",20.2897898
"Activation targeted (ψw)",472,"iota_N2",0.52602281
"Half-life indis (ϕn)",472,"phi_N1",0.01283166
"Half-life targeted (ϕw)",472,"phi_N2",565.847396
"RBC replenishment (ρ)",473,"rho",0.16300773
"Burst size (β)",473,"burst",4.52320594
"Activation indis (ψn)",473,"iota_N1",36.8707867
"Activation targeted (ψw)",473,"iota_N2",2.05657616
"Half-life indis (ϕn)",473,"phi_N1",0.05857323
"Half-life targeted (ϕw)",473,"phi_N2",888.271699
"RBC replenishment (ρ)",474,"rho",0.34856673
"Burst size (β)",474,"burst",5.96400937
"Activation indis (ψn)",474,"iota_N1",22.8149839
"Activation targeted (ψw)",474,"iota_N2",1.87408598
"Half-life indis (ϕn)",474,"phi_N1",0.03361546
"Half-life targeted (ϕw)",474,"phi_N2",3555.70802
"RBC replenishment (ρ)",475,"rho",0.30864295
"Burst size (β)",475,"burst",5.59996629
"Activation indis (ψn)",475,"iota_N1",11.7918478
"Activation targeted (ψw)",475,"iota_N2",1.00448675
"Half-life indis (ϕn)",475,"phi_N1",0.02856181
"Half-life targeted (ϕw)",475,"phi_N2",1126.64266
"RBC replenishment (ρ)",476,"rho",0.32534659
"Burst size (β)",476,"burst",4.1468584
"Activation indis (ψn)",476,"iota_N1",7.8293796
"Activation targeted (ψw)",476,"iota_N2",0.71130084
"Half-life indis (ϕn)",476,"phi_N1",0.11556082
"Half-life targeted (ϕw)",476,"phi_N2",178.163992
"RBC replenishment (ρ)",477,"rho",0.22920348
"Burst size (β)",477,"burst",3.88057502
"Activation indis (ψn)",477,"iota_N1",14.6679298
"Activation targeted (ψw)",477,"iota_N2",0.82322371
"Half-life indis (ϕn)",477,"phi_N1",0.03845419
"Half-life targeted (ϕw)",477,"phi_N2",240.160605
"RBC replenishment (ρ)",478,"rho",0.35980137
"Burst size (β)",478,"burst",4.6554545
"Activation indis (ψn)",478,"iota_N1",23.6898458
"Activation targeted (ψw)",478,"iota_N2",0.54507536
"Half-life indis (ϕn)",478,"phi_N1",0.01381493
"Half-life targeted (ϕw)",478,"phi_N2",65.690365
"RBC replenishment (ρ)",479,"rho",0.27319103
"Burst size (β)",479,"burst",4.73008288
"Activation indis (ψn)",479,"iota_N1",25.8126091
"Activation targeted (ψw)",479,"iota_N2",1.80407367
"Half-life indis (ϕn)",479,"phi_N1",0.10086604
"Half-life targeted (ϕw)",479,"phi_N2",96.3550157
"RBC replenishment (ρ)",480,"rho",0.35424063
"Burst size (β)",480,"burst",6.19359161
"Activation indis (ψn)",480,"iota_N1",32.8020385
"Activation targeted (ψw)",480,"iota_N2",1.96446989
"Half-life indis (ϕn)",480,"phi_N1",0.02261327
"Half-life targeted (ϕw)",480,"phi_N2",202.610172
"RBC replenishment (ρ)",481,"rho",0.31832245
"Burst size (β)",481,"burst",5.58810383
"Activation indis (ψn)",481,"iota_N1",32.6862681
"Activation targeted (ψw)",481,"iota_N2",1.01455979
"Half-life indis (ϕn)",481,"phi_N1",0.00881614
"Half-life targeted (ϕw)",481,"phi_N2",110.449125
"RBC replenishment (ρ)",482,"rho",0.23253642
"Burst size (β)",482,"burst",4.04824788
"Activation indis (ψn)",482,"iota_N1",34.4235084
"Activation targeted (ψw)",482,"iota_N2",0.92547698
"Half-life indis (ϕn)",482,"phi_N1",0.02658993
"Half-life targeted (ϕw)",482,"phi_N2",747.339406
"RBC replenishment (ρ)",483,"rho",0.52198355
"Burst size (β)",483,"burst",4.03095562
"Activation indis (ψn)",483,"iota_N1",34.6400053
"Activation targeted (ψw)",483,"iota_N2",0.66846147
"Half-life indis (ϕn)",483,"phi_N1",0.02557145
"Half-life targeted (ϕw)",483,"phi_N2",2129.47208
"RBC replenishment (ρ)",484,"rho",0.24144796
"Burst size (β)",484,"burst",4.75968489
"Activation indis (ψn)",484,"iota_N1",32.5082384
"Activation targeted (ψw)",484,"iota_N2",0.5172375
"Half-life indis (ϕn)",484,"phi_N1",0.00560051
"Half-life targeted (ϕw)",484,"phi_N2",4635.59835
"RBC replenishment (ρ)",485,"rho",0.09750066
"Burst size (β)",485,"burst",4.41262283
"Activation indis (ψn)",485,"iota_N1",37.6580915
"Activation targeted (ψw)",485,"iota_N2",2.66770448
"Half-life indis (ϕn)",485,"phi_N1",0.05488289
"Half-life targeted (ϕw)",485,"phi_N2",210.35789
"RBC replenishment (ρ)",486,"rho",0.47829404
"Burst size (β)",486,"burst",6.07846809
"Activation indis (ψn)",486,"iota_N1",34.4207911
"Activation targeted (ψw)",486,"iota_N2",2.2078044
"Half-life indis (ϕn)",486,"phi_N1",0.04242212
"Half-life targeted (ϕw)",486,"phi_N2",3506.77677
"RBC replenishment (ρ)",487,"rho",0.46839792
"Burst size (β)",487,"burst",5.61923168
"Activation indis (ψn)",487,"iota_N1",42.8876634
"Activation targeted (ψw)",487,"iota_N2",0.8851853
"Half-life indis (ϕn)",487,"phi_N1",0.00863689
"Half-life targeted (ϕw)",487,"phi_N2",1835.85617
"RBC replenishment (ρ)",488,"rho",0.39782114
"Burst size (β)",488,"burst",3.93887781
"Activation indis (ψn)",488,"iota_N1",12.9711822
"Activation targeted (ψw)",488,"iota_N2",0.61184187
"Half-life indis (ϕn)",488,"phi_N1",0.0809603
"Half-life targeted (ϕw)",488,"phi_N2",1386.38925
"RBC replenishment (ρ)",489,"rho",0.34403093
"Burst size (β)",489,"burst",4.05484275
"Activation indis (ψn)",489,"iota_N1",9.56464347
"Activation targeted (ψw)",489,"iota_N2",0.73825886
"Half-life indis (ϕn)",489,"phi_N1",0.03894246
"Half-life targeted (ϕw)",489,"phi_N2",1025.65684
"RBC replenishment (ρ)",490,"rho",0.41916249
"Burst size (β)",490,"burst",4.67007424
"Activation indis (ψn)",490,"iota_N1",8.41238555
"Activation targeted (ψw)",490,"iota_N2",0.57263322
"Half-life indis (ϕn)",490,"phi_N1",0.03735807
"Half-life targeted (ϕw)",490,"phi_N2",1234.16818
"RBC replenishment (ρ)",491,"rho",0.21349035
"Burst size (β)",491,"burst",4.60040065
"Activation indis (ψn)",491,"iota_N1",22.9608915
"Activation targeted (ψw)",491,"iota_N2",2.07892847
"Half-life indis (ϕn)",491,"phi_N1",0.06892885
"Half-life targeted (ϕw)",491,"phi_N2",726.13416
"RBC replenishment (ρ)",492,"rho",0.42410717
"Burst size (β)",492,"burst",6.10587984
"Activation indis (ψn)",492,"iota_N1",8.65776153
"Activation targeted (ψw)",492,"iota_N2",1.92480703
"Half-life indis (ϕn)",492,"phi_N1",0.08864032
"Half-life targeted (ϕw)",492,"phi_N2",1342.76827
"RBC replenishment (ρ)",493,"rho",0.29277638
"Burst size (β)",493,"burst",5.58275223
"Activation indis (ψn)",493,"iota_N1",10.0716457
"Activation targeted (ψw)",493,"iota_N2",1.15157344
"Half-life indis (ϕn)",493,"phi_N1",0.02871644
"Half-life targeted (ϕw)",493,"phi_N2",505.060669
"RBC replenishment (ρ)",494,"rho",0.20833261
"Burst size (β)",494,"burst",3.92925851
"Activation indis (ψn)",494,"iota_N1",28.2642023
"Activation targeted (ψw)",494,"iota_N2",0.87872707
"Half-life indis (ϕn)",494,"phi_N1",0.02556908
"Half-life targeted (ϕw)",494,"phi_N2",733.231579
"RBC replenishment (ρ)",495,"rho",0.32547601
"Burst size (β)",495,"burst",3.92564675
"Activation indis (ψn)",495,"iota_N1",23.6850217
"Activation targeted (ψw)",495,"iota_N2",0.6397886
"Half-life indis (ϕn)",495,"phi_N1",0.02599165
"Half-life targeted (ϕw)",495,"phi_N2",413.530033
"RBC replenishment (ρ)",496,"rho",0.33894234
"Burst size (β)",496,"burst",4.84132112
"Activation indis (ψn)",496,"iota_N1",25.9769052
"Activation targeted (ψw)",496,"iota_N2",0.44859432
"Half-life indis (ϕn)",496,"phi_N1",0.01362033
"Half-life targeted (ϕw)",496,"phi_N2",118.127873
"RBC replenishment (ρ)",497,"rho",0.16629246
"Burst size (β)",497,"burst",4.61545388
"Activation indis (ψn)",497,"iota_N1",25.8280802
"Activation targeted (ψw)",497,"iota_N2",2.09149044
"Half-life indis (ϕn)",497,"phi_N1",0.07550584
"Half-life targeted (ϕw)",497,"phi_N2",244.820825
"RBC replenishment (ρ)",498,"rho",0.39025487
"Burst size (β)",498,"burst",6.04465773
"Activation indis (ψn)",498,"iota_N1",31.412766
"Activation targeted (ψw)",498,"iota_N2",1.73755389
"Half-life indis (ϕn)",498,"phi_N1",0.01775148
"Half-life targeted (ϕw)",498,"phi_N2",1156.9059
"RBC replenishment (ρ)",499,"rho",0.35007299
"Burst size (β)",499,"burst",5.60349631
"Activation indis (ψn)",499,"iota_N1",23.353796
"Activation targeted (ψw)",499,"iota_N2",0.92338065
"Half-life indis (ϕn)",499,"phi_N1",0.02287913
"Half-life targeted (ϕw)",499,"phi_N2",104.316693
"RBC replenishment (ρ)",500,"rho",0.24790548
"Burst size (β)",500,"burst",3.96749861
"Activation indis (ψn)",500,"iota_N1",9.65090388
"Activation targeted (ψw)",500,"iota_N2",0.84476445
"Half-life indis (ϕn)",500,"phi_N1",0.06955471
"Half-life targeted (ϕw)",500,"phi_N2",2443.71782
"RBC replenishment (ρ)",501,"rho",0.35054379
"Burst size (β)",501,"burst",4.00708699
"Activation indis (ψn)",501,"iota_N1",10.3894422
"Activation targeted (ψw)",501,"iota_N2",0.60143422
"Half-life indis (ϕn)",501,"phi_N1",0.0526858
"Half-life targeted (ϕw)",501,"phi_N2",614.112647
"RBC replenishment (ρ)",502,"rho",0.32055873
"Burst size (β)",502,"burst",4.70954141
"Activation indis (ψn)",502,"iota_N1",5.88607563
"Activation targeted (ψw)",502,"iota_N2",0.48041463
"Half-life indis (ϕn)",502,"phi_N1",0.03740316
"Half-life targeted (ϕw)",502,"phi_N2",3497.61872
"RBC replenishment (ρ)",503,"rho",0.23981564
"Burst size (β)",503,"burst",4.74637358
"Activation indis (ψn)",503,"iota_N1",16.4918222
"Activation targeted (ψw)",503,"iota_N2",2.36812629
"Half-life indis (ϕn)",503,"phi_N1",0.14004634
"Half-life targeted (ϕw)",503,"phi_N2",75.0743096
"RBC replenishment (ρ)",504,"rho",0.29900689
"Burst size (β)",504,"burst",5.82794482
"Activation indis (ψn)",504,"iota_N1",12.6691547
"Activation targeted (ψw)",504,"iota_N2",2.07258893
"Half-life indis (ϕn)",504,"phi_N1",0.04067615
"Half-life targeted (ϕw)",504,"phi_N2",75.0042819
"RBC replenishment (ρ)",505,"rho",0.31861559
"Burst size (β)",505,"burst",5.57391688
"Activation indis (ψn)",505,"iota_N1",10.6047895
"Activation targeted (ψw)",505,"iota_N2",1.06087165
"Half-life indis (ϕn)",505,"phi_N1",0.05217677
"Half-life targeted (ϕw)",505,"phi_N2",417.528321
"RBC replenishment (ρ)",506,"rho",0.35200709
"Burst size (β)",506,"burst",4.01645187
"Activation indis (ψn)",506,"iota_N1",15.2615382
"Activation targeted (ψw)",506,"iota_N2",0.76054801
"Half-life indis (ϕn)",506,"phi_N1",0.0432522
"Half-life targeted (ϕw)",506,"phi_N2",3133.41809
"RBC replenishment (ρ)",507,"rho",0.36882226
"Burst size (β)",507,"burst",3.91742235
"Activation indis (ψn)",507,"iota_N1",11.3367063
"Activation targeted (ψw)",507,"iota_N2",0.63820219
"Half-life indis (ϕn)",507,"phi_N1",0.04891168
"Half-life targeted (ϕw)",507,"phi_N2",4291.46536
"RBC replenishment (ρ)",508,"rho",0.4247313
"Burst size (β)",508,"burst",4.92508134
"Activation indis (ψn)",508,"iota_N1",6.32321648
"Activation targeted (ψw)",508,"iota_N2",0.44193549
"Half-life indis (ϕn)",508,"phi_N1",0.03073119
"Half-life targeted (ϕw)",508,"phi_N2",3202.78341
"RBC replenishment (ρ)",509,"rho",0.20336722
"Burst size (β)",509,"burst",4.46115925
"Activation indis (ψn)",509,"iota_N1",65.2803255
"Activation targeted (ψw)",509,"iota_N2",1.99901139
"Half-life indis (ϕn)",509,"phi_N1",0.03312811
"Half-life targeted (ϕw)",509,"phi_N2",1283.19096
"RBC replenishment (ρ)",510,"rho",0.39569863
"Burst size (β)",510,"burst",6.07362766
"Activation indis (ψn)",510,"iota_N1",16.4200044
"Activation targeted (ψw)",510,"iota_N2",1.87698142
"Half-life indis (ϕn)",510,"phi_N1",0.0475097
"Half-life targeted (ϕw)",510,"phi_N2",3350.51208
"RBC replenishment (ρ)",511,"rho",0.30645524
"Burst size (β)",511,"burst",5.34320514
"Activation indis (ψn)",511,"iota_N1",17.4828524
"Activation targeted (ψw)",511,"iota_N2",1.01477261
"Half-life indis (ϕn)",511,"phi_N1",0.0454765
"Half-life targeted (ϕw)",511,"phi_N2",4319.34177
"RBC replenishment (ρ)",512,"rho",0.30084456
"Burst size (β)",512,"burst",4.02651824
"Activation indis (ψn)",512,"iota_N1",40.8564655
"Activation targeted (ψw)",512,"iota_N2",0.69073079
"Half-life indis (ϕn)",512,"phi_N1",0.0143164
"Half-life targeted (ϕw)",512,"phi_N2",2950.47526
"RBC replenishment (ρ)",513,"rho",0.34138136
"Burst size (β)",513,"burst",3.96010811
"Activation indis (ψn)",513,"iota_N1",38.8816731
"Activation targeted (ψw)",513,"iota_N2",0.78458958
"Half-life indis (ϕn)",513,"phi_N1",0.02165013
"Half-life targeted (ϕw)",513,"phi_N2",2291.17608
"RBC replenishment (ρ)",514,"rho",0.34616802
"Burst size (β)",514,"burst",4.58247788
"Activation indis (ψn)",514,"iota_N1",43.1036511
"Activation targeted (ψw)",514,"iota_N2",0.56665319
"Half-life indis (ϕn)",514,"phi_N1",0.00635296
"Half-life targeted (ϕw)",514,"phi_N2",5389.94531
"RBC replenishment (ρ)",515,"rho",0.21400351
"Burst size (β)",515,"burst",4.66604761
"Activation indis (ψn)",515,"iota_N1",48.3341854
"Activation targeted (ψw)",515,"iota_N2",1.72947228
"Half-life indis (ϕn)",515,"phi_N1",0.02888916
"Half-life targeted (ϕw)",515,"phi_N2",673.970738
"RBC replenishment (ρ)",516,"rho",0.40877071
"Burst size (β)",516,"burst",5.80094187
"Activation indis (ψn)",516,"iota_N1",84.6976573
"Activation targeted (ψw)",516,"iota_N2",1.90547689
"Half-life indis (ϕn)",516,"phi_N1",0.01070825
"Half-life targeted (ϕw)",516,"phi_N2",2057.03854
"RBC replenishment (ρ)",517,"rho",0.36495968
"Burst size (β)",517,"burst",5.54471608
"Activation indis (ψn)",517,"iota_N1",73.5228643
"Activation targeted (ψw)",517,"iota_N2",1.07336195
"Half-life indis (ϕn)",517,"phi_N1",0.00992821
"Half-life targeted (ϕw)",517,"phi_N2",1787.71824
"RBC replenishment (ρ)",518,"rho",0.24895477
"Burst size (β)",518,"burst",3.97275897
"Activation indis (ψn)",518,"iota_N1",6.04423309
"Activation targeted (ψw)",518,"iota_N2",0.64300797
"Half-life indis (ϕn)",518,"phi_N1",0.09723411
"Half-life targeted (ϕw)",518,"phi_N2",276.322453
"RBC replenishment (ρ)",519,"rho",0.27931924
"Burst size (β)",519,"burst",3.78997694
"Activation indis (ψn)",519,"iota_N1",6.91151052
"Activation targeted (ψw)",519,"iota_N2",0.76771754
"Half-life indis (ϕn)",519,"phi_N1",0.08759784
"Half-life targeted (ϕw)",519,"phi_N2",806.761222
"RBC replenishment (ρ)",520,"rho",0.35007774
"Burst size (β)",520,"burst",4.86384243
"Activation indis (ψn)",520,"iota_N1",4.28027249
"Activation targeted (ψw)",520,"iota_N2",0.40799846
"Half-life indis (ϕn)",520,"phi_N1",0.05787669
"Half-life targeted (ϕw)",520,"phi_N2",3179.91488
"RBC replenishment (ρ)",521,"rho",0.16204969
"Burst size (β)",521,"burst",4.71272655
"Activation indis (ψn)",521,"iota_N1",20.1311457
"Activation targeted (ψw)",521,"iota_N2",1.87614264
"Half-life indis (ϕn)",521,"phi_N1",0.06929554
"Half-life targeted (ϕw)",521,"phi_N2",491.149628
"RBC replenishment (ρ)",522,"rho",0.38377567
"Burst size (β)",522,"burst",6.46964216
"Activation indis (ψn)",522,"iota_N1",11.767723
"Activation targeted (ψw)",522,"iota_N2",1.48216623
"Half-life indis (ϕn)",522,"phi_N1",0.0617773
"Half-life targeted (ϕw)",522,"phi_N2",1837.68946
"RBC replenishment (ρ)",523,"rho",0.38935699
"Burst size (β)",523,"burst",5.42152256
"Activation indis (ψn)",523,"iota_N1",8.95183523
"Activation targeted (ψw)",523,"iota_N2",1.1209727
"Half-life indis (ϕn)",523,"phi_N1",0.05703408
"Half-life targeted (ϕw)",523,"phi_N2",173.475412
"RBC replenishment (ρ)",524,"rho",0.26787352
"Burst size (β)",524,"burst",4.08270216
"Activation indis (ψn)",524,"iota_N1",51.7369232
"Activation targeted (ψw)",524,"iota_N2",1.18160574
"Half-life indis (ϕn)",524,"phi_N1",0.0151029
"Half-life targeted (ϕw)",524,"phi_N2",24.6413811
"RBC replenishment (ρ)",525,"rho",0.21530075
"Burst size (β)",525,"burst",4.12147668
"Activation indis (ψn)",525,"iota_N1",24.8397959
"Activation targeted (ψw)",525,"iota_N2",0.92644746
"Half-life indis (ϕn)",525,"phi_N1",0.01061007
"Half-life targeted (ϕw)",525,"phi_N2",49.1223859
"RBC replenishment (ρ)",526,"rho",0.35143919
"Burst size (β)",526,"burst",4.71211241
"Activation indis (ψn)",526,"iota_N1",41.8423434
"Activation targeted (ψw)",526,"iota_N2",0.51455092
"Half-life indis (ϕn)",526,"phi_N1",0.00723522
"Half-life targeted (ϕw)",526,"phi_N2",98.7917808
"RBC replenishment (ρ)",527,"rho",0.1634383
"Burst size (β)",527,"burst",4.63822485
"Activation indis (ψn)",527,"iota_N1",86.424134
"Activation targeted (ψw)",527,"iota_N2",2.50700635
"Half-life indis (ϕn)",527,"phi_N1",0.02953551
"Half-life targeted (ϕw)",527,"phi_N2",244.506445
"RBC replenishment (ρ)",528,"rho",0.39387439
"Burst size (β)",528,"burst",6.14224237
"Activation indis (ψn)",528,"iota_N1",89.1484741
"Activation targeted (ψw)",528,"iota_N2",2.08418807
"Half-life indis (ϕn)",528,"phi_N1",0.01371296
"Half-life targeted (ϕw)",528,"phi_N2",118.70014
"RBC replenishment (ρ)",529,"rho",0.36118631
"Burst size (β)",529,"burst",5.48041837
"Activation indis (ψn)",529,"iota_N1",40.622699
"Activation targeted (ψw)",529,"iota_N2",0.93678592
"Half-life indis (ϕn)",529,"phi_N1",0.01079511
"Half-life targeted (ϕw)",529,"phi_N2",185.86903
"RBC replenishment (ρ)",530,"rho",0.26082521
"Burst size (β)",530,"burst",4.00429899
"Activation indis (ψn)",530,"iota_N1",52.7368492
"Activation targeted (ψw)",530,"iota_N2",0.79614991
"Half-life indis (ϕn)",530,"phi_N1",0.00949516
"Half-life targeted (ϕw)",530,"phi_N2",3027.4403
"RBC replenishment (ρ)",531,"rho",0.3372719
"Burst size (β)",531,"burst",3.9174034
"Activation indis (ψn)",531,"iota_N1",49.0086788
"Activation targeted (ψw)",531,"iota_N2",0.86464568
"Half-life indis (ϕn)",531,"phi_N1",0.01007635
"Half-life targeted (ϕw)",531,"phi_N2",1119.3159
"RBC replenishment (ρ)",532,"rho",0.39391432
"Burst size (β)",532,"burst",4.69406771
"Activation indis (ψn)",532,"iota_N1",38.2690601
"Activation targeted (ψw)",532,"iota_N2",0.39476892
"Half-life indis (ϕn)",532,"phi_N1",0.00609382
"Half-life targeted (ϕw)",532,"phi_N2",625.713165
"RBC replenishment (ρ)",533,"rho",0.32164259
"Burst size (β)",533,"burst",4.73669588
"Activation indis (ψn)",533,"iota_N1",63.7553316
"Activation targeted (ψw)",533,"iota_N2",1.72896252
"Half-life indis (ϕn)",533,"phi_N1",0.04049475
"Half-life targeted (ϕw)",533,"phi_N2",1966.4278
"RBC replenishment (ρ)",534,"rho",0.37705539
"Burst size (β)",534,"burst",6.06987434
"Activation indis (ψn)",534,"iota_N1",49.8689239
"Activation targeted (ψw)",534,"iota_N2",1.91388764
"Half-life indis (ϕn)",534,"phi_N1",0.02282331
"Half-life targeted (ϕw)",534,"phi_N2",1085.26137
"RBC replenishment (ρ)",535,"rho",0.29833387
"Burst size (β)",535,"burst",5.58638666
"Activation indis (ψn)",535,"iota_N1",36.5973165
"Activation targeted (ψw)",535,"iota_N2",1.07984476
"Half-life indis (ϕn)",535,"phi_N1",0.01416137
"Half-life targeted (ϕw)",535,"phi_N2",849.050594
"RBC replenishment (ρ)",536,"rho",0.30337195
"Burst size (β)",536,"burst",4.01675535
"Activation indis (ψn)",536,"iota_N1",6.06614663
"Activation targeted (ψw)",536,"iota_N2",0.74477561
"Half-life indis (ϕn)",536,"phi_N1",0.13087419
"Half-life targeted (ϕw)",536,"phi_N2",1018.12537
"RBC replenishment (ρ)",537,"rho",0.3629319
"Burst size (β)",537,"burst",3.98468121
"Activation indis (ψn)",537,"iota_N1",7.81290746
"Activation targeted (ψw)",537,"iota_N2",0.90551448
"Half-life indis (ϕn)",537,"phi_N1",0.05972115
"Half-life targeted (ϕw)",537,"phi_N2",1321.71019
"RBC replenishment (ρ)",538,"rho",0.33527299
"Burst size (β)",538,"burst",4.91822154
"Activation indis (ψn)",538,"iota_N1",7.52653093
"Activation targeted (ψw)",538,"iota_N2",0.45969962
"Half-life indis (ϕn)",538,"phi_N1",0.02970983
"Half-life targeted (ϕw)",538,"phi_N2",60.0308954
"RBC replenishment (ρ)",539,"rho",0.31771955
"Burst size (β)",539,"burst",4.51174323
"Activation indis (ψn)",539,"iota_N1",6.65909084
"Activation targeted (ψw)",539,"iota_N2",1.85080665
"Half-life indis (ϕn)",539,"phi_N1",0.4701594
"Half-life targeted (ϕw)",539,"phi_N2",5898.92131
"RBC replenishment (ρ)",540,"rho",0.44466702
"Burst size (β)",540,"burst",6.04200449
"Activation indis (ψn)",540,"iota_N1",8.19214812
"Activation targeted (ψw)",540,"iota_N2",2.03242316
"Half-life indis (ϕn)",540,"phi_N1",0.14263186
"Half-life targeted (ϕw)",540,"phi_N2",4147.37863
"RBC replenishment (ρ)",541,"rho",0.48868721
"Burst size (β)",541,"burst",5.46255996
"Activation indis (ψn)",541,"iota_N1",6.82175642
"Activation targeted (ψw)",541,"iota_N2",0.98359308
"Half-life indis (ϕn)",541,"phi_N1",0.15463667
"Half-life targeted (ϕw)",541,"phi_N2",425.258731
"RBC replenishment (ρ)",542,"rho",0.38129522
"Burst size (β)",542,"burst",3.91026549
"Activation indis (ψn)",542,"iota_N1",95.2540499
"Activation targeted (ψw)",542,"iota_N2",0.73039703
"Half-life indis (ϕn)",542,"phi_N1",0.00933323
"Half-life targeted (ϕw)",542,"phi_N2",300.607546
"RBC replenishment (ρ)",543,"rho",0.40661641
"Burst size (β)",543,"burst",4.09260828
