"label","iter","parameter","value"
"Half-life indis (ϕn)",65,"phi_N1",0.14450533
"Half-life targeted (ϕw)",65,"phi_N2",565.057811
"RBC replenishment (ρ)",66,"rho",0.59616148
"Burst size (β)",66,"burst",5.97302348
"Activation indis (ψn)",66,"iota_N1",22.1003478
"Activation targeted (ψw)",66,"iota_N2",2.20600697
"Half-life indis (ϕn)",66,"phi_N1",0.08803456
"Half-life targeted (ϕw)",66,"phi_N2",249.4994
"RBC replenishment (ρ)",67,"rho",0.25151738
"Burst size (β)",67,"burst",5.65837797
"Activation indis (ψn)",67,"iota_N1",14.7577554
"Activation targeted (ψw)",67,"iota_N2",1.02370494
"Half-life indis (ϕn)",67,"phi_N1",0.04273986
"Half-life targeted (ϕw)",67,"phi_N2",918.60073
"RBC replenishment (ρ)",68,"rho",0.25409129
"Burst size (β)",68,"burst",4.10687777
"Activation indis (ψn)",68,"iota_N1",20.3658151
"Activation targeted (ψw)",68,"iota_N2",1.06151163
"Half-life indis (ϕn)",68,"phi_N1",0.0323207
"Half-life targeted (ϕw)",68,"phi_N2",122.378172
"RBC replenishment (ρ)",69,"rho",0.3289517
"Burst size (β)",69,"burst",4.05056584
"Activation indis (ψn)",69,"iota_N1",39.9241673
"Activation targeted (ψw)",69,"iota_N2",0.84041615
"Half-life indis (ϕn)",69,"phi_N1",0.01646389
"Half-life targeted (ϕw)",69,"phi_N2",886.010097
"RBC replenishment (ρ)",70,"rho",0.33818478
"Burst size (β)",70,"burst",4.95635409
"Activation indis (ψn)",70,"iota_N1",13.4375425
"Activation targeted (ψw)",70,"iota_N2",0.51859344
"Half-life indis (ϕn)",70,"phi_N1",0.01618944
"Half-life targeted (ϕw)",70,"phi_N2",17.9097258
"RBC replenishment (ρ)",71,"rho",0.15765045
"Burst size (β)",71,"burst",4.66844095
"Activation indis (ψn)",71,"iota_N1",24.4907867
"Activation targeted (ψw)",71,"iota_N2",1.88728936
"Half-life indis (ϕn)",71,"phi_N1",0.06070281
"Half-life targeted (ϕw)",71,"phi_N2",5406.33342
"RBC replenishment (ρ)",72,"rho",0.4681368
"Burst size (β)",72,"burst",6.19516103
"Activation indis (ψn)",72,"iota_N1",28.81336
"Activation targeted (ψw)",72,"iota_N2",1.79850509
"Half-life indis (ϕn)",72,"phi_N1",0.03030116
"Half-life targeted (ϕw)",72,"phi_N2",1370.75209
"RBC replenishment (ρ)",73,"rho",0.30876855
"Burst size (β)",73,"burst",5.54704108
"Activation indis (ψn)",73,"iota_N1",8.38695064
"Activation targeted (ψw)",73,"iota_N2",1.05098372
