"","long_label","cue_value","transmission_investment"
"187","Asexual iRBC log",1.32857791892733,6.71481530805859e-115
"188","Asexual iRBC log",1.33273232519509,5.23175186597255e-115
"189","Asexual iRBC log",1.33689972211338,4.08077923071145e-115
"190","Asexual iRBC log",1.3410801503034,3.18656779706805e-115
"191","Asexual iRBC log",1.34527365051338,2.4910848644334e-115
"192","Asexual iRBC log",1.34948026361896,1.94957689839886e-115
"193","Asexual iRBC log",1.35370003062361,1.52749531234469e-115
"194","Asexual iRBC log",1.35793299265902,1.19814187275548e-115
"195","Asexual iRBC log",1.36217919098546,9.40863493158464e-116
"196","Asexual iRBC log",1.36643866699227,7.39666858964961e-116
"197","Asexual iRBC log",1.37071146219818,5.82154189419784e-116
"198","Asexual iRBC log",1.37499761825175,4.58704882640556e-116
"199","Asexual iRBC log",1.37929717693178,3.61845607833136e-116
"200","Asexual iRBC log",1.38361018014772,2.8576496617395e-116
"201","Asexual iRBC log",1.38793666994004,2.25939167021814e-116
"202","Asexual iRBC log",1.3922766884807,1.78843037066294e-116
"203","Asexual iRBC log",1.39663027807352,1.41726685725958e-116
"204","Asexual iRBC log",1.40099748115459,1.12442736916573e-116
"205","Asexual iRBC log",1.4053783402927,8.9312543747113e-117
"206","Asexual iRBC log",1.40977289818977,7.10224857739873e-117
"207","Asexual iRBC log",1.41418119768122,5.65435034315454e-117
"208","Asexual iRBC log",1.41860328173643,4.50685996799263e-117
"209","Asexual iRBC log",1.42303919345915,3.59642478313817e-117
"210","Asexual iRBC log",1.4274889760879,2.87325730768361e-117
"211","Asexual iRBC log",1.4319526729964,2.29818891316714e-117
"212","Asexual iRBC log",1.43643032769402,1.84037208031648e-117
"213","Asexual iRBC log",1.44092198382616,1.47548664651062e-117
"214","Asexual iRBC log",1.44542768517471,1.18433807103403e-117
"215","Asexual iRBC log",1.44994747565846,9.51760926592437e-118
"216","Asexual iRBC log",1.45448139933354,7.65760278228825e-118
"217","Asexual iRBC log",1.45902950039382,6.1683865239215e-118
"218","Asexual iRBC log",1.46359182317138,4.97467940847593e-118
"219","Asexual iRBC log",1.46816841213692,4.01674603464974e-118
"220","Asexual iRBC log",1.47275931190021,3.24713528154923e-118
"221","Asexual iRBC log",1.47736456721049,2.62811335283461e-118
"222","Asexual iRBC log",1.48198422295695,2.12964132094349e-118
"223","Asexual iRBC log",1.48661832416913,1.72778003225984e-118
"224","Asexual iRBC log",1.49126691601739,1.40343077216732e-118
"225","Asexual iRBC log",1.49593004381332,1.14133998867406e-118
"226","Asexual iRBC log",1.50060775301021,9.29311894533365e-119
"227","Asexual iRBC log",1.50530008920348,7.57584885665635e-119
"228","Asexual iRBC log",1.51000709813112,6.18337183588292e-119
"229","Asexual iRBC log",1.51472882567413,5.052945173297e-119
"230","Asexual iRBC log",1.51946531785701,4.13418460564089e-119
"231","Asexual iRBC log",1.52421662084815,3.38658585735246e-119
"232","Asexual iRBC log",1.5289827809603,2.77755163380175e-119
"233","Asexual iRBC log",1.53376384465106,2.28081935544341e-119
"234","Asexual iRBC log",1.53855985852327,1.8752069363923e-119
"235","Asexual iRBC log",1.54337086932551,1.54361123234085e-119
"236","Asexual iRBC log",1.54819692395254,1.27220742464911e-119
"237","Asexual iRBC log",1.55303806944575,1.04980836200896e-119
"238","Asexual iRBC log",1.55789435299364,8.67351367633368e-120
"239","Asexual iRBC log",1.56276582193226,7.17486723308615e-120
"240","Asexual iRBC log",1.56765252374568,5.94247341696476e-120
"241","Asexual iRBC log",1.57255450606643,4.92783332848898e-120
"242","Asexual iRBC log",1.57747181667601,4.09148493835577e-120
"243","Asexual iRBC log",1.58240450350533,3.40128385361676e-120
"244","Asexual iRBC log",1.58735261463517,2.83101750752428e-120
"245","Asexual iRBC log",1.59231619829665,2.359286944126e-120
"246","Asexual iRBC log",1.59729530287172,1.96860358436065e-120
"247","Asexual iRBC log",1.6022899768936,1.64465888099247e-120
"248","Asexual iRBC log",1.6073002690473,1.37573315303108e-120
"249","Asexual iRBC log",1.61232622817005,1.15221657704503e-120
"250","Asexual iRBC log",1.61736790325177,9.66220651504866e-121
"251","Asexual iRBC log",1.62242534343562,8.11262716941349e-121
"252","Asexual iRBC log",1.62749859801837,6.82009527855143e-121
"253","Asexual iRBC log",1.63258771645099,5.74068605410606e-121
"254","Asexual iRBC log",1.63769274833905,4.83818290573263e-121
"255","Asexual iRBC log",1.64281374344325,4.08269174941211e-121
"256","Asexual iRBC log",1.64795075167987,3.44950998005669e-121
"257","Asexual iRBC log",1.65310382312131,2.9182023426253e-121
"258","Asexual iRBC log",1.6582730079965,2.47184506613942e-121
"259","Asexual iRBC log",1.66345835669148,2.09640697899921e-121
"260","Asexual iRBC log",1.66865991974981,1.78024225297853e-121
"261","Asexual iRBC log",1.67387774787311,1.51367420806139e-121
"262","Asexual iRBC log",1.67911189192154,1.2886534754782e-121
"263","Asexual iRBC log",1.68436240291431,1.0984769416204e-121
"264","Asexual iRBC log",1.68962933203014,9.37556425105925e-122
"265","Asexual iRBC log",1.69491273060781,8.01228088633818e-122
"266","Asexual iRBC log",1.70021265014661,6.85595249201557e-122
"267","Asexual iRBC log",1.7055291423069,5.8739859932908e-122
"268","Asexual iRBC log",1.71086225891053,5.03908948072118e-122
"269","Asexual iRBC log",1.71621205194144,4.3283848213021e-122
"270","Asexual iRBC log",1.7215785735461,3.72267273127071e-122
"271","Asexual iRBC log",1.72696187603404,3.20582348585994e-122
"272","Asexual iRBC log",1.73236201187837,2.76427126538794e-122
"273","Asexual iRBC log",1.73777903371627,2.3865940758811e-122
"274","Asexual iRBC log",1.74321299434952,2.06316440149437e-122
"275","Asexual iRBC log",1.74866394674501,1.78585837927159e-122
"276","Asexual iRBC log",1.75413194403525,1.54781344303889e-122
"277","Asexual iRBC log",1.7596170395189,1.34322615055478e-122
"278","Asexual iRBC log",1.76511928666128,1.16718335792859e-122
