"","mut_id","res_id","fitness_1","fitness_2","fitness_final","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"79","I-i_none","Ig-i_none",0.376123479383373,0.376378246937774,0.376378246937774,"I","none","Ig","none","I","Ig"
"80","I-i_none","Ig1+Ig2_none",-1.46143272171546,0.612598642900129,0.612598642900129,"I","none","Ig1+Ig2","none","I","Ig1+Ig2"
"81","I-i_none","R_log",-0.154041701917913,-0.153785395546761,-0.153785395546761,"I","none","R","log","I","R log"
"82","I-i_none","R_none",-0.176853565253666,-0.176909007105717,-0.176853565253666,"I","none","R","none","I","R"
"83","I-i_none","sum_log",-0.160705680517672,-0.163075198767825,-0.160705680517672,"I","none","sum","log","I","sum log"
"84","I-i_none","sum_none",-0.0532516006260675,-0.046542573270254,-0.046542573270254,"I","none","sum","none","I","sum"
"85","I1+I2_log","G-i_log",-0.180876498494606,-0.180874227242786,-0.180874227242786,"I1+I2","log","G","log","I1+I2 log","G log"
"86","I1+I2_log","G-i_none",0.484347345715131,0.480879945248177,0.484347345715131,"I1+I2","log","G","none","I1+I2 log","G"
"87","I1+I2_log","G1+G2_log",1.15175297937768,1.17634953797185,1.17634953797185,"I1+I2","log","G1+G2","log","I1+I2 log","G1+G2 log"
"88","I1+I2_log","G1+G2_none",0.628810324673289,0.628810324673289,0.628810324673289,"I1+I2","log","G1+G2","none","I1+I2 log","G1+G2"
"89","I1+I2_log","I-i_log",0.0027872349096012,0.0027872349096012,0.0027872349096012,"I1+I2","log","I","log","I1+I2 log","I log"
"90","I1+I2_log","I-i_none",0.103921166388492,0.103921166388492,0.103921166388492,"I1+I2","log","I","none","I1+I2 log","I"
"91","I1+I2_log","I1+I2_none",0.728471512686935,0.747781724137504,0.747781724137504,"I1+I2","log","I1+I2","none","I1+I2 log","I1+I2"
"92","I1+I2_log","Ig-i_log",-0.168080925889502,-0.169208468122676,-0.168080925889502,"I1+I2","log","Ig","log","I1+I2 log","Ig log"
"93","I1+I2_log","Ig-i_none",0.51716103468576,0.519871377491081,0.519871377491081,"I1+I2","log","Ig","none","I1+I2 log","Ig"
"94","I1+I2_log","Ig1+Ig2_none",0.767679208494287,0.779332031721162,0.779332031721162,"I1+I2","log","Ig1+Ig2","none","I1+I2 log","Ig1+Ig2"
"95","I1+I2_log","R_log",-0.0947363557477607,-0.0688816208532477,-0.0688816208532477,"I1+I2","log","R","log","I1+I2 log","R log"
"96","I1+I2_log","R_none",-0.121785051405636,-0.0967940666407863,-0.0967940666407863,"I1+I2","log","R","none","I1+I2 log","R"
"97","I1+I2_log","sum_log",-0.093247580767891,-0.071668045872836,-0.071668045872836,"I1+I2","log","sum","log","I1+I2 log","sum log"
"98","I1+I2_log","sum_none",0.0423071509337265,0.0421093292741239,0.0423071509337265,"I1+I2","log","sum","none","I1+I2 log","sum"
"99","I1+I2_none","G-i_log",-0.296595552224628,-0.318189619169817,-0.296595552224628,"I1+I2","none","G","log","I1+I2","G log"
"100","I1+I2_none","G-i_none",0.256120597454343,0.233198510296566,0.256120597454343,"I1+I2","none","G","none","I1+I2","G"
"101","I1+I2_none","G1+G2_log",2.4053889642536e-106,2.4053889642536e-106,2.4053889642536e-106,"I1+I2","none","G1+G2","log","I1+I2","G1+G2 log"
"102","I1+I2_none","G1+G2_none",0.381792874651156,0.342258408077216,0.381792874651156,"I1+I2","none","G1+G2","none","I1+I2","G1+G2"
"103","I1+I2_none","I-i_log",-0.103066984368971,-0.122794073387692,-0.103066984368971,"I1+I2","none","I","log","I1+I2","I log"
"104","I1+I2_none","I-i_none",-0.262713326995415,-0.0100632233044617,-0.0100632233044617,"I1+I2","none","I","none","I1+I2","I"
"105","I1+I2_none","I1+I2_log",-0.101058333843179,-0.116456460907509,-0.101058333843179,"I1+I2","none","I1+I2","log","I1+I2","I1+I2 log"
"106","I1+I2_none","Ig-i_log",-0.304749994680568,-0.327950725759098,-0.304749994680568,"I1+I2","none","Ig","log","I1+I2","Ig log"
"107","I1+I2_none","Ig-i_none",0.294138660121693,0.254986143921418,0.294138660121693,"I1+I2","none","Ig","none","I1+I2","Ig"
"108","I1+I2_none","Ig1+Ig2_none",-1.4614325302809,0.505571745074843,0.505571745074843,"I1+I2","none","Ig1+Ig2","none","I1+I2","Ig1+Ig2"
"109","I1+I2_none","R_log",-0.178200397645554,-0.193242939085492,-0.178200397645554,"I1+I2","none","R","log","I1+I2","R log"
"110","I1+I2_none","R_none",-0.201180298494056,-0.214588314707157,-0.201180298494056,"I1+I2","none","R","none","I1+I2","R"
"111","I1+I2_none","sum_log",-0.196061835057858,-0.215877425702645,-0.196061835057858,"I1+I2","none","sum","log","I1+I2","sum log"
"112","I1+I2_none","sum_none",-0.0732218943818606,-0.0890181786091973,-0.0732218943818606,"I1+I2","none","sum","none","I1+I2","sum"
"113","Ig-i_log","G-i_log",-0.00803725544093847,-0.00803736953168421,-0.00803725544093847,"Ig","log","G","log","Ig log","G log"
"114","Ig-i_log","G-i_none",0.596255638147331,0.596254446068241,0.596255638147331,"Ig","log","G","none","Ig log","G"
"115","Ig-i_log","G1+G2_log",1.26261425478718,1.26261425478718,1.26261425478718,"Ig","log","G1+G2","log","Ig log","G1+G2 log"
"116","Ig-i_log","G1+G2_none",0.7565805886164,0.756580385839649,0.7565805886164,"Ig","log","G1+G2","none","Ig log","G1+G2"
"117","Ig-i_log","I-i_log",0.144390015685198,0.144389874045299,0.144390015685198,"Ig","log","I","log","Ig log","I log"
"118","Ig-i_log","I-i_none",0.0328244757176788,0.266644758208953,0.266644758208953,"Ig","log","I","none","Ig log","I"
"119","Ig-i_log","I1+I2_log",0.17162472006993,0.171624773092654,0.171624773092654,"Ig","log","I1+I2","log","Ig log","I1+I2 log"
"120","Ig-i_log","I1+I2_none",0.909447282066484,0.909446935586787,0.909447282066484,"Ig","log","I1+I2","none","Ig log","I1+I2"
"121","Ig-i_log","Ig-i_none",0.662256778458887,0.662256861001894,0.662256861001894,"Ig","log","Ig","none","Ig log","Ig"
"122","Ig-i_log","Ig1+Ig2_none",0.819402380283402,0.819402425171742,0.819402425171742,"Ig","log","Ig1+Ig2","none","Ig log","Ig1+Ig2"
"123","Ig-i_log","R_log",0.113777515810642,0.113777401778126,0.113777515810642,"Ig","log","R","log","Ig log","R log"
"124","Ig-i_log","R_none",0.0826935675497231,0.0826935638676676,0.0826935675497231,"Ig","log","R","none","Ig log","R"
"125","Ig-i_log","sum_log",0.0764466483101383,0.0764465719643455,0.0764466483101383,"Ig","log","sum","log","Ig log","sum log"
"126","Ig-i_log","sum_none",0.206263410389738,0.206263374131948,0.206263410389738,"Ig","log","sum","none","Ig log","sum"
"127","Ig-i_none","G-i_log",-0.622036746935439,-0.62203627977293,-0.62203627977293,"Ig","none","G","log","Ig","G log"
"128","Ig-i_none","G-i_none",-0.0779082834832578,-0.0783085209486065,-0.0779082834832578,"Ig","none","G","none","Ig","G"
"129","Ig-i_none","G1+G2_log",0.000892440320196803,0.000892440320196803,0.000892440320196803,"Ig","none","G1+G2","log","Ig","G1+G2 log"
"130","Ig-i_none","G1+G2_none",-0.00825439523756133,0.0236504996807383,0.0236504996807383,"Ig","none","G1+G2","none","Ig","G1+G2"
"131","Ig-i_none","I-i_log",-0.528743962444319,-0.494292904620904,-0.494292904620904,"Ig","none","I","log","Ig","I log"
"132","Ig-i_none","I-i_none",-0.341046981008793,-0.317440030468936,-0.317440030468936,"Ig","none","I","none","Ig","I"
"133","Ig-i_none","I1+I2_log",-0.48602861933519,-0.48602861933519,-0.48602861933519,"Ig","none","I1+I2","log","Ig","I1+I2 log"
"134","Ig-i_none","I1+I2_none",0.360586434316301,0.32529583365566,0.360586434316301,"Ig","none","I1+I2","none","Ig","I1+I2"
"135","Ig-i_none","Ig-i_log",-0.640348800700794,-0.640348800700794,-0.640348800700794,"Ig","none","Ig","log","Ig","Ig log"
