"","id_1","id_2","tau_cum1","tau_cum2","fitness_difference"
"39","I1+I2_none","G1+G2_none",2.17723105365343,2.42759154486588,-0.250360491212454
"40","I1+I2_none","I-i_log",2.00227931370447,2.74645746311121,-0.744178149406734
"41","I1+I2_none","I-i_none",2.09148912746557,2.49371642608348,-0.402227298617905
"42","I1+I2_none","I-i+Ig-i_log",1.86813247015841,2.66420725965235,-0.796074789493932
"43","I1+I2_none","I-i+Ig-i_none",1.89349280600048,2.42558405975458,-0.532091253754095
"44","I1+I2_none","I1+I2_log",1.96860115371464,2.71125895295342,-0.742657799238787
"45","I1+I2_none","I1+I2_none",2.39146349593424,2.39146349593424,0
"46","Ig-i_log","G-i_log",2.21230433056254,2.23176648753675,-0.0194621569742135
"47","Ig-i_log","G-i_none",2.26920848084158,1.69862325380984,0.570585227031738
"48","Ig-i_log","G1+G2_none",2.60406890653769,1.86460914056686,0.739459765970833
"49","Ig-i_log","I-i_log",2.33326891080918,2.18309266275752,0.15017624805166
"50","Ig-i_log","I-i_none",2.33051711713679,2.06924063546222,0.261276481674573
"51","Ig-i_log","I-i+Ig-i_log",2.22877101946995,2.15237407794048,0.0763969415294636
"52","Ig-i_log","I-i+Ig-i_none",2.22953812013049,1.95115735466998,0.278380765460511
"53","Ig-i_log","I1+I2_log",2.33122904419745,2.16505704957569,0.166171994621758
"54","Ig-i_log","I1+I2_none",2.75080215817508,1.85549824898932,0.895303909185754
"55","Ig-i_log","Ig-i_log",2.20849532611985,2.20849532611985,0
"56","Ig-i_none","G-i_log",1.67288404435553,2.38311332607476,-0.710229281719236
"57","Ig-i_none","G-i_none",1.56266124659341,1.69644107189252,-0.133779825299104
"58","Ig-i_none","G1+G2_none",1.96712947831873,2.10624092607267,-0.13911144775394
"59","Ig-i_none","I-i_log",1.76966011247087,2.36642949729636,-0.596769384825488
"60","Ig-i_none","I-i_none",1.79640871194362,2.2449699428298,-0.448561230886183
"61","Ig-i_none","I-i+Ig-i_log",1.65842945780902,2.28056436845295,-0.62213491064393
"62","Ig-i_none","I-i+Ig-i_none",1.63775489697668,2.02627410581137,-0.388519208834692
"63","Ig-i_none","I1+I2_log",1.72353777725083,2.2525213529298,-0.528983575678972
"64","Ig-i_none","I1+I2_none",2.06319621982725,2.00606102771598,0.0571351921112715
"65","Ig-i_none","Ig-i_log",1.65802822454099,2.35226854004604,-0.694240315505046
"66","Ig-i_none","Ig-i_none",1.64994431118209,1.64994431118209,0
"67","Ig1+Ig2_none","G-i_log",1.76136791233573,2.5720205929249,-0.81065268058917
"68","Ig1+Ig2_none","G-i_none",1.72815639825308,1.89112485631545,-0.162968458062362
"69","Ig1+Ig2_none","G1+G2_none",2.17228611548664,2.30575224037954,-0.133466124892897
"70","Ig1+Ig2_none","I-i_log",1.8819074798478,2.60686362479428,-0.724956144946487
"71","Ig1+Ig2_none","I-i_none",1.92256093173346,2.47008726247639,-0.547526330742931
"72","Ig1+Ig2_none","I-i+Ig-i_log",1.76763088344028,2.47717470185179,-0.709543818411513
"73","Ig1+Ig2_none","I-i+Ig-i_none",1.7389590955944,2.23198044331519,-0.493021347720787
"74","Ig1+Ig2_none","I1+I2_log",1.83432699345281,2.47841690751289,-0.644089914060076
"75","Ig1+Ig2_none","I1+I2_none",2.26769909668874,2.19323389267168,0.0744652040170557
"76","Ig1+Ig2_none","Ig-i_log",1.77569162411067,2.54994010749116,-0.774248483380488
"77","Ig1+Ig2_none","Ig-i_none",1.85109988262966,1.86611636774385,-0.0150164851141934
"78","Ig1+Ig2_none","Ig1+Ig2_none",2.08029478105197,2.08029478105197,0
"79","R_log","G-i_log",1.99889624594994,2.14899210727548,-0.150095861325539
"80","R_log","G-i_none",1.99633753535341,1.58962413892672,0.406713396426694
"81","R_log","G1+G2_none",2.32173900904599,1.7717576690977,0.549981339948284
"82","R_log","I-i_log",2.15414698715667,2.16539981514105,-0.0112528279843795
"83","R_log","I-i_none",2.07927333632035,1.96930327304005,0.109970063280306
"84","R_log","I-i+Ig-i_log",2.04380828432267,2.10189321118808,-0.058084926865408
"85","R_log","I-i+Ig-i_none",1.95278254192212,1.81408210448985,0.138700437432267
"86","R_log","I1+I2_log",2.15228974659991,2.10338482363617,0.0489049229637462
"87","R_log","I1+I2_none",2.46438412799718,1.75712738349555,0.707256744501629
"88","R_log","Ig-i_log",2.03574812305757,2.16745362757872,-0.131705504521145
"89","R_log","Ig-i_none",2.09332686788867,1.56705237998423,0.526274487904443
"90","R_log","Ig1+Ig2_none",2.26465397294289,1.6289438843045,0.635710088638389
"91","R_log","R_log",1.87294075723942,1.87294075723942,2.22044604925031e-16
"92","R_none","G-i_log",2.0718070490125,2.15711985508933,-0.0853128060768338
"93","R_none","G-i_none",2.09575225066249,1.63025756984944,0.465494680813058
"94","R_none","G1+G2_none",2.37517002840937,1.76048912882174,0.614680899587634
"95","R_none","I-i_log",2.24266184294557,2.17113267037915,0.071529172566422
"96","R_none","I-i_none",2.16444024178123,1.98278217824225,0.181658063538984
"97","R_none","I-i+Ig-i_log",2.13197844592239,2.12669095919975,0.00528748672263379
"98","R_none","I-i+Ig-i_none",2.03093794112514,1.83526548649879,0.195672454626353
"99","R_none","I1+I2_log",2.24576051913618,2.1436977077203,0.102062811415881
"100","R_none","I1+I2_none",2.57719190286783,1.79171358060423,0.785478322263598
"101","R_none","Ig-i_log",2.1127278050874,2.18205674003975,-0.0693289349523512
"102","R_none","Ig-i_none",2.18776457289246,1.60336187506603,0.584402697826434
"103","R_none","Ig1+Ig2_none",2.36072301008501,1.66556234188948,0.695160668195525
"104","R_none","R_log",1.96659948510588,1.91191329763348,0.0546861874724027
"105","R_none","R_none",1.98092716253539,1.98092716253539,-2.22044604925031e-16
"106","sum_log","G-i_log",2.17976438391273,2.27731709397557,-0.0975527100628448
"107","sum_log","G-i_none",2.18870062304912,1.68901840103901,0.499682222010108
"108","sum_log","G1+G2_none",2.5380012770688,1.81285550208925,0.725145774979556
"109","sum_log","I-i_log",2.29377054243298,2.22931433192761,0.0644562105053699
"110","sum_log","I-i_none",2.27674293785585,2.11579342334568,0.160949514510166
"111","sum_log","I-i+Ig-i_log",2.18818672231682,2.18416299911655,0.00402372320026689
"112","sum_log","I-i+Ig-i_none",2.18233029886304,1.97471594718407,0.207614351678968
"113","sum_log","I1+I2_log",2.29175078260931,2.2195100426112,0.0722407399981106
"114","sum_log","I1+I2_none",2.69513544581499,1.891429468038,0.803705977776991
"115","sum_log","Ig-i_log",2.17796911998088,2.25128698691371,-0.0733178669328209
"116","sum_log","Ig-i_none",2.29559737885945,1.66401439296298,0.631582985896464
"117","sum_log","Ig1+Ig2_none",2.48347223143825,1.77129549409815,0.712176737340107
"118","sum_log","R_log",2.11249033051148,2.0610984511852,0.0513918793262809
"119","sum_log","R_none",2.15113610980694,2.15611964409662,-0.0049835342896829
"120","sum_log","sum_log",2.20937199871884,2.20937199871884,4.44089209850063e-16
"121","sum_none","G-i_log",1.91483250826182,2.19828131898841,-0.283448810726589
"122","sum_none","G-i_none",1.8386699717259,1.58684353718366,0.251826434542233
"123","sum_none","G1+G2_none",2.23582414721607,1.8277627472813,0.40806139993477
"124","sum_none","I-i_log",2.03897981438206,2.18407229465406,-0.145092480271997
"125","sum_none","I-i_none",1.96450539193491,1.9961134615689,-0.0316080696339891
"126","sum_none","I-i+Ig-i_log",1.93118723107091,2.12747326318702,-0.196286032116115
"127","sum_none","I-i+Ig-i_none",1.82567237639082,1.82196943959199,0.00370293679882105
"128","sum_none","I1+I2_log",2.02799397613021,2.14897561950944,-0.120981643379227
"129","sum_none","I1+I2_none",2.33486156265394,1.79723980841062,0.537621754243321
"130","sum_none","Ig-i_log",1.93516448995852,2.20292803919687,-0.267763549238354
"131","sum_none","Ig-i_none",1.95001605523502,1.5773551576606,0.372660897574417
"132","sum_none","Ig1+Ig2_none",2.12747184715268,1.64476169861586,0.482710148536819
"133","sum_none","R_log",1.78522468525262,1.92135615484959,-0.13613146959697
"134","sum_none","R_none",1.81930458274483,2.00325252312307,-0.183947940378239
"135","sum_none","sum_log",1.93803978846646,2.14369365906275,-0.20565387059629
"136","sum_none","sum_none",1.79484147711678,1.79484147711678,-2.22044604925031e-16
