"X","mut_id","res_id","fitness","mut_var1","mut_var2","mut_var3","mut_var4","res_var1","res_var2","res_var3","res_var4","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt"
1,"I-i_log","G-i_none",0.54128169458131,296.297,-407.8744,-253.256,-312.6993,1.353023,-165.8444,60.96032,-7.602019,294.619636908302,-410.826360548532,-248.71004798632,-312.51573534754
1,"I-i_log","G1+G2_none",0.645086501000153,296.297,-407.8744,-253.256,-312.6993,1,-20.67279,324.78499,-4999.96816,296.186371539056,-409.714112834259,-251.536313639447,-313.608524988716
1,"I-i_log","I-i_none",0.110482683987791,296.297,-407.8744,-253.256,-312.6993,1.958208,-69.747557,1519.003656,-253.527388,295.845426950458,-408.993377965154,-251.231952825637,-313.269982010905
1,"I-i_log","I-i+Ig-i_log",-0.0607251849663468,296.297,-407.8744,-253.256,-312.6993,303.4573,-419.5405,-257.9821,-320.6268,462.458003153533,-643.539300022271,-390.897247456791,-490.334473010053
1,"I-i_log","I-i+Ig-i_none",0.148497330353572,296.297,-407.8744,-253.256,-312.6993,1.738925,-32.23447,294.1821,16.1966,518.4323690213,-726.449719748365,-434.862677503224,-551.334922516763
1,"I-i_log","I1+I2_log",0.00398966572753023,296.297,-407.8744,-253.256,-312.6993,356.4903,-465.0749,-322.0964,-367.33,296.356817518926,-407.564795299315,-253.113911236404,-313.167194194884
1,"I-i_log","I1+I2_none",0.744941054878311,296.297,-407.8744,-253.256,-312.6993,0.9999997,-9.1495804,-71.9937848,4998.243879,296.310051686827,-407.779068226409,-253.215222374944,-312.845452965508
1,"I-i_log","Ig-i_log",-0.142335333336432,296.297,-407.8744,-253.256,-312.6993,2.188023,-5.185792,3.701277,-8.106463,472.411426862494,-659.006653202116,-398.077674024422,-501.521068527485
1,"I-i_log","Ig-i_none",0.628636407147778,296.297,-407.8744,-253.256,-312.6993,1.178482,-108.3889,2.022846,0.4681743,294.167941223861,-413.027633641823,-245.56565845486,-313.843087123435
1,"I-i_log","Ig1+Ig2_none",0.803001053776227,296.297,-407.8744,-253.256,-312.6993,1,-31.28019,341.47294,-4999.99774,298.69007142084,-400.925305576746,-265.552564502284,-308.74452650006
1,"I-i_log","R_log",0.0168226864263183,296.297,-407.8744,-253.256,-312.6993,-1708.033,2029.536,1652.683,1716.579,295.217434390831,-411.055200688577,-248.433564480061,-313.975439204892
1,"I-i_log","R_none",-0.065733295329204,296.297,-407.8744,-253.256,-312.6993,-85.83515,132.203,63.44411,95.46252,295.216044283131,-410.908219285282,-248.359945812423,-314.044594956324
1,"I-i_log","sum_log",-0.0591561401178202,296.297,-407.8744,-253.256,-312.6993,366.9224,-475.8806,-333.6755,-376.6502,296.573038397965,-407.318068259476,-253.836713368506,-313.087871962809
1,"I-i_log","sum_none",0.155826910951609,296.297,-407.8744,-253.256,-312.6993,1.832057,-16.921,61.96135,1.122217,444.415755805399,-622.768717789563,-372.353879699429,-473.111175747395
