"","X","id","id_b","label","label_b","fitness","par1","par2","par3","par4","par5","par6","par7","par8","par9"
"29",1,"R_log","I_log","R log","I log",9.85417375742354,4.44619203259215,10.9751827505082,1.38762816973326,23.3059253975402,-3.45205237143071,-18.00706920308,39.6661422617907,-3.54519314123176,18.7835079899362
"30",1,"R_log","I_none","R log","I",8.37295353200724,46.1228753582065,-68.0308280459698,2.23461521300846,-46.2640908683946,63.5996782560573,-48.5468121223783,-46.140981685128,-59.2179176996542,-0.91126142161683
"31",1,"R_log","I+Ig_log","R log","I+Ig log",9.73612558958711,5.1956035781851,5.99822148880104,1.18085658446685,12.8608728924589,-1.5747945929083,-13.35679325975,35.2857302694346,-4.93097042087385,5.16653516723564
"32",1,"R_log","I+Ig_none","R log","I+Ig",8.24014071604259,21.6539824904061,-17.6536616648047,9.11143196365219,-36.7440401513756,34.1254874823617,-24.0594257913187,-19.0847393969489,-8.62600196777722,-31.0724555498581
"33",1,"R_log","Ig_log","R log","Ig log",9.60656468549657,-0.00491698103621923,0.825496200321378,0.509378291373975,1.13626406804009,-0.309776990626265,0.331662929296179,1.91914869558215,-1.00418454227486,2.11725221957314
"34",1,"R_log","Ig_none","R log","Ig",8.54019532270679,58.6394682080969,-112.746122779015,-1.65071108456402,-66.9700826023136,177.49472589935,-105.413884847241,-60.3783715737498,-90.4245972135417,-27.0682102729611
"35",1,"R_none","I_log","R","I log",9.63979982248616,3.75226993868487,-1.93073441194961,0.160188214773009,16.7017176784883,-5.14117057214914,-1.39079422816679,16.9716133419595,-4.12849292805685,4.25002508844527
"36",1,"R_none","I_none","R","I",8.39362049106971,22.9796451088574,-7.24388502532049,-18.3999489281641,-22.3879469295697,25.5864143519239,-37.9287646472957,-21.3481324830232,-72.1647073623528,-17.0759512179773
"37",1,"R_none","I+Ig_log","R","I+Ig log",9.78133543660417,-0.123534059008924,10.4124386229996,-16.1309878862432,28.0960752938664,-12.4906092637936,12.7752446927671,36.7704533176794,7.01118221818864,6.68091669911684
"38",1,"R_none","I+Ig_none","R","I+Ig",8.6181778022672,17.3463567749702,-14.803387370244,3.85933468184783,-21.7712011762498,27.1827327512783,-20.6857234001487,-14.2273472924458,-28.6072685648691,-10.4098164045562
"39",1,"R_none","Ig_log","R","Ig log",9.69529659165577,-6.79926923751665,-10.8549366264254,-6.64330302637054,5.64097273385016,-7.2528766156777,20.7392856714489,9.61107803032484,10.2440853112506,-0.418108793759737
"40",1,"R_none","Ig_none","R","Ig",8.56595267492026,35.1844931900769,-31.1565941277592,-2.33313872638472,-37.2333316396937,27.5349715749668,-34.5715503169399,-31.2499034109963,-45.6110548792245,-22.2604077817599
