"","id","cue","log","beta","fitness","par1","par2","par3","par4","default","low","high","by","long_label"
"20","I+Ig_log","I+Ig","log10",6.08,9.91018599682023,3.50590851067974,4.01944900251253,-13.5780963601993,2.73314680960355,FALSE,0,6.77815125,0.00135563,"Total iRBC log"
"21","I+Ig_none","I+Ig","none",3.98,6.36811782418333,1.02384972791963,-49.1768444286291,1250.73649806657,-6.25263361562334,FALSE,0,6e+06,1200,"Total iRBC"
"22","I+Ig_none","I+Ig","none",4.7,7.66851618782395,0.623794386314092,-46.0986129602561,1250.75316982907,-6.19809061811952,FALSE,0,6e+06,1200,"Total iRBC"
"23","I+Ig_none","I+Ig","none",5.53,8.67693415912769,0.367244601323419,-46.1085706155136,1250.75295363597,-6.19821303607852,FALSE,0,6e+06,1200,"Total iRBC"
"24","I+Ig_none","I+Ig","none",6.08,9.15963528492057,0.225932615100486,-46.1109309082574,1250.75288437533,-6.19816558422425,FALSE,0,6e+06,1200,"Total iRBC"
"25","Ig_log","Ig","log10",3.98,6.89236392203959,2.08533112704176,-5.2002932818968,0.919658796934704,-4.3633730803743,TRUE,0,6.77815125,0.00135563,"Sexual iRBC log"
"26","Ig_log","Ig","log10",4.7,8.34853939942121,2.02540627209098,-4.93002976029918,-1.35112287001482,-1.94972784889064,FALSE,0,6.77815125,0.00135563,"Sexual iRBC log"
"27","Ig_log","Ig","log10",5.53,9.44665396886229,1.93818836216612,-4.39652229029466,-3.13872584316654,-0.394591434031593,TRUE,0,6.77815125,0.00135563,"Sexual iRBC log"
"28","Ig_log","Ig","log10",6.08,9.95928530508432,1.74344147099853,-2.30109598396343,-5.25018112262119,1.27753087902975,TRUE,0,6.77815125,0.00135563,"Sexual iRBC log"
"29","Ig_none","Ig","none",3.98,5.9325643289286,0.647045781522997,-50.5052059486876,1897.8085664564,70.6706437685355,FALSE,0,6e+06,1200,"Sexual iRBC"
"30","Ig_none","Ig","none",4.7,7.27158712468235,0.335055484459817,-46.0307236398353,1897.61315128646,70.5769042650446,FALSE,0,6e+06,1200,"Sexual iRBC"
"31","Ig_none","Ig","none",5.53,8.36407603768044,0.10262248695625,-46.0328381792385,1897.61315031469,70.5768979735974,FALSE,0,6e+06,1200,"Sexual iRBC"
"32","Ig_none","Ig","none",6.08,8.90978756240762,-0.0381198015487427,-46.0349528491831,1897.61311623845,70.576891768967,FALSE,0,6e+06,1200,"Sexual iRBC"
"33","R_log","R","log10",3.98,5.87393010709614,6.72117520047494,33.6219445647589,-19.3850560087158,-4.31337251143974,TRUE,6,7,2e-04,"RBC log"
"34","R_log","R","log10",4.7,7.00136413068078,-0.827723488571581,0.0656859073910093,-1.2951105066606,1.43059386415136,TRUE,6,7,2e-04,"RBC log"
"35","R_log","R","log10",5.53,8.00129785883125,3.45052722298323,203.943971956995,-45.6606954500173,1.76700010551222,FALSE,6,7,2e-04,"RBC log"
"36","R_log","R","log10",6.08,8.51589759610469,3.41039711386853,203.970221203943,-45.6558105441342,1.64846936059135,FALSE,6,7,2e-04,"RBC log"
"37","R_none","R","none",3.98,5.89701834506605,0.770940867294331,6.26368235747492,-6.9433217098544,2.34729829053656,TRUE,1e+06,1e+07,1800,"RBC"
"38","R_none","R","none",4.7,7.03825908810364,1.46517554758986,8.25557927970443,-8.39513564425254,1.32269665336361,TRUE,1e+06,1e+07,1800,"RBC"
"39","R_none","R","none",5.53,8.05468398093871,-4.87950041647538,45.348161533931,-16.8329097586705,11.9340527629074,FALSE,1e+06,1e+07,1800,"RBC"
"40","R_none","R","none",6.08,8.57206724596713,-4.96980351674997,45.342070424063,-16.8608441034635,11.8783635366565,FALSE,1e+06,1e+07,1800,"RBC"
