"","day","mouse","RBC","asex","gam","dose","strain","study","study_strain","id"
"1034",16,5,4440000,7242.95,9.55,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"1035",16,6,5210000,7801.4,17.2,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"1036",16,7,6980000,1152.5,0,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"1037",16,8,6360000,297.8,120.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"1038",16,9,6350000,90.7,0,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"1039",16,10,5020000,15834.8,250.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"1040",16,11,6370000,2490.5,149.6,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"1041",16,12,5690000,2190.4,65.5,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"1042",16,13,5820000,10487.9,1729.2,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"1043",16,14,5690000,204.76,3.04,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"1044",16,15,6020000,497.8,31.7,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"1045",16,16,5e+06,138200.5,3198.7,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"1046",16,19,4340000,140751.2,7480.3,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"1047",16,20,5530000,980.5,263.7,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"1048",16,21,5630000,13187.5,996.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"1049",16,22,6640000,70494.9,3024.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"1050",16,23,5040000,7114.9,470,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"1051",16,24,4410000,106787.5,6140.9,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"1052",16,25,5260000,16727.5,2899.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"1053",16,26,4900000,21643.6,455.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"1054",16,27,6540000,11314.9,350.5,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"1055",16,28,4840000,182.9,105.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"1056",16,29,5460000,10044.8,427.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"1057",16,30,4540000,4234,100.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
