id,rho,burst,iota_N1,iota_N2,phi_N1,phi_N2
43,0.28336518,5.54303179,7.00623756,1.02710473,0.05960943,306.419521
44,0.22175107,4.08296069,35.3044262,0.87886863,0.01022206,1959.99363
45,0.28965634,3.85883144,39.3163319,0.72654761,0.01154613,281.307805
46,0.42882493,4.81045359,24.8326771,0.54754292,0.01188511,1208.02976
47,0.1828014,4.618446,66.2039063,1.92263211,0.03801,33083.2118
48,0.45461511,6.11210943,40.3575844,1.84070977,0.03308028,12146.814
49,0.31803085,5.65418578,49.8215813,1.0756629,0.01601819,5148.35039
50,0.26370631,3.89914799,7.63888323,0.74239277,0.09586232,195.564636
51,0.27968424,3.96050225,8.10506692,0.90481894,0.02834292,153.24186
52,0.25813562,4.71677196,10.4362143,0.53542348,0.03855524,180.507611
53,0.22138235,4.64363094,21.1222469,2.3901298,0.0943903,119.996197
54,0.43508118,6.38055076,14.59179,1.64824052,0.08771553,111.342108
55,0.30850241,5.59301462,8.45932371,1.1968327,0.11060957,185.836276
56,0.2608722,4.17049606,6.1182811,0.95646667,0.07955531,1657.43835
57,0.29337658,3.92570037,12.7494584,0.68378413,0.03888775,676.177749
58,0.32106039,4.77447466,21.3229498,0.47348867,0.01429184,1997.88965
59,0.21811822,4.79325064,28.4225725,2.10413405,0.07263984,2144.85307
60,0.40182782,6.30689862,19.9506488,1.61860295,0.0382151,1644.46246
61,0.24939739,5.57346819,16.7017044,1.18554795,0.03037486,1725.72251
62,0.35643206,4.06083012,17.0177289,0.83611979,0.05437647,147.937053
63,0.30598278,3.93109547,15.6676692,0.92255256,0.03178641,227.748603
64,0.36134949,4.75255282,15.5524191,0.52519252,0.01821533,73.552139
65,0.28252889,4.7379066,15.0387359,2.2863089,0.14450533,565.057811
66,0.59616148,5.97302348,22.1003478,2.20600697,0.08803456,249.4994
67,0.25151738,5.65837797,14.7577554,1.02370494,0.04273986,918.60073
68,0.25409129,4.10687777,20.3658151,1.06151163,0.0323207,122.378172
69,0.3289517,4.05056584,39.9241673,0.84041615,0.01646389,886.010097
70,0.33818478,4.95635409,13.4375425,0.51859344,0.01618944,17.9097258
71,0.15765045,4.66844095,24.4907867,1.88728936,0.06070281,5406.33342
72,0.4681368,6.19516103,28.81336,1.79850509,0.03030116,1370.75209
73,0.30876855,5.54704108,8.38695064,1.05098372,0.08816371,41.8555037
74,0.21616248,3.93054911,52.2090516,0.99373561,0.02025214,56.0063546
75,0.32827894,3.90121441,42.5090359,0.77050988,0.01514351,30.8444678
76,0.29845568,4.76604692,41.6125477,0.62916638,0.00537344,22.6141921
77,0.32670901,4.4352183,65.3223747,2.35508192,0.06921245,821.899804
78,0.48894478,6.27509074,56.0910037,1.95281952,0.03080074,246.774861
79,0.43916033,5.49842479,43.5148678,1.10922221,0.01941255,90.6118558
80,0.3377515,3.99807923,9.68247597,0.69233754,0.08173773,377.596861
81,0.46346928,3.87699145,10.166611,0.80320266,0.08695385,71.973707
82,0.32477726,4.7121712,7.21535763,0.54701099,0.03700929,537.015522
83,0.28397073,4.5218917,29.0838699,1.92255003,0.08698688,793.169794
84,0.51243488,5.93726258,14.570671,1.86502479,0.08195391,319.245539
85,0.32525815,5.5838158,9.30694033,0.96547643,0.04629372,457.34592
86,0.35536866,3.99096517,13.6525112,0.78957226,0.06857833,983.676228
87,0.38479576,4.01312012,10.7164015,0.76257775,0.04134249,862.47192
88,0.366081,4.78235687,9.37618906,0.51186716,0.03715781,741.539824
89,0.15609871,4.59754161,35.4919244,2.34457858,0.06063209,2001.5139
90,0.31997776,6.35896495,12.4539381,1.60167071,0.06136102,385.372248
91,0.26556898,5.58889315,15.9063243,1.01310996,0.02502959,1059.10448
92,0.31479169,4.00309083,14.5711739,0.85386515,0.04483297,879.739986
93,0.32352567,3.90978736,9.16099054,0.77887385,0.04204355,2103.34722
94,0.35992611,4.81370522,14.7281248,0.47849385,0.02481447,1202.45765
95,0.20601711,4.52443256,28.3714724,2.43216099,0.08010408,338.180722
96,0.34857098,6.05750248,18.6209776,2.25418842,0.08001626,384.072267
97,0.30700347,5.35148815,12.3837371,1.25584932,0.06592598,5743.84541
98,0.25278307,4.06004342,63.9208811,0.67635249,0.00676,1965.95411
99,0.33636413,3.83545335,45.2694005,0.80023204,0.01571543,1581.3823
100,0.38264767,4.7100765,81.857102,0.5812482,0.00494533,1394.6199
101,0.16737619,4.5502929,44.892346,2.87443507,0.07063501,1001.10799
102,0.2654701,5.96106572,42.1523922,2.56373399,0.03426106,2141.6238
