V1,label
4.155033,Total sexual iRBC
4.168212,Total sexual iRBC
2.287556,Total sexual iRBC
1.323171,Total sexual iRBC
3.673086,Total sexual iRBC
1.696244,Total sexual iRBC
3.85336,Total sexual iRBC
2.235905,Total sexual iRBC
4.002183,Total sexual iRBC
4.15437,Total sexual iRBC
3.171744,Total sexual iRBC
2.99091,Total sexual iRBC
2.817161,Total sexual iRBC
4.168303,Total sexual iRBC
2.479194,Total sexual iRBC
4.156539,Total sexual iRBC
1.88635,Total sexual iRBC
2.137563,Total sexual iRBC
3.236795,Total sexual iRBC
4.161588,Total sexual iRBC
3.4384,Total sexual iRBC
0.3069062,Total sexual iRBC
3.932338,Total sexual iRBC
3.457907,Total sexual iRBC
2.203821,Total sexual iRBC
4.105382,Total sexual iRBC
3.3137,Total sexual iRBC
3.980319,Total sexual iRBC
4.172214,Total sexual iRBC
2.70008,Total sexual iRBC
3.324283,Total sexual iRBC
4.186477,Total sexual iRBC
4.13838,Total sexual iRBC
4.112794,Total sexual iRBC
3.770792,Total sexual iRBC
3.900276,Total sexual iRBC
1.341069,Total sexual iRBC
2.614367,Total sexual iRBC
3.658916,Total sexual iRBC
3.436443,Total sexual iRBC
2.426507,Total sexual iRBC
1.470704,Total sexual iRBC
4.155741,Total sexual iRBC
2.133435,Total sexual iRBC
0.5121049,Total sexual iRBC
2.193949,Total sexual iRBC
2.244181,Total sexual iRBC
4.133518,Total sexual iRBC
2.192306,Total sexual iRBC
4.009305,Total sexual iRBC
1.888,Total sexual iRBC
4.182302,Total sexual iRBC
1.125626,Total sexual iRBC
4.167561,Total sexual iRBC
0.5722035,Total sexual iRBC
0.1211684,Total sexual iRBC
2.541251,Total sexual iRBC
1.295618,Total sexual iRBC
4.110891,Total sexual iRBC
4.084082,Total sexual iRBC
2.058184,Total sexual iRBC
1.813069,Total sexual iRBC
2.469695,Total sexual iRBC
4.11258,Total sexual iRBC
4.055732,Total sexual iRBC
3.191431,Total sexual iRBC
4.13152,Total sexual iRBC
4.177488,Total sexual iRBC
2.448877,Total sexual iRBC
2.786503,Total sexual iRBC
4.185641,Total sexual iRBC
4.072714,Total sexual iRBC
3.996729,Total sexual iRBC
2.965063,Total sexual iRBC
2.426405,Total sexual iRBC
2.714138,Total sexual iRBC
2.069316,Total sexual iRBC
3.109856,Total sexual iRBC
1.58254,Total sexual iRBC
2.102574,Total sexual iRBC
3.806708,Total sexual iRBC
4.178344,Total sexual iRBC
0.6626486,Total sexual iRBC
2.278439,Total sexual iRBC
2.688603,Total sexual iRBC
2.357735,Total sexual iRBC
3.314818,Total sexual iRBC
3.922644,Total sexual iRBC
4.186699,Total sexual iRBC
3.77688,Total sexual iRBC
2.37409,Total sexual iRBC
3.544695,Total sexual iRBC
2.563221,Total sexual iRBC
3.931167,Total sexual iRBC
1.251974,Total sexual iRBC
2.935532,Total sexual iRBC
3.620434,Total sexual iRBC
2.42992,Total sexual iRBC
4.082654,Total sexual iRBC
2.309964,Total sexual iRBC
2.657321,Total sexual iRBC
4.155601,Total sexual iRBC
4.182902,Total sexual iRBC
2.920219,Total sexual iRBC
3.375148,Total sexual iRBC
3.864631,Total sexual iRBC
1.935648,Total sexual iRBC
2.481104,Total sexual iRBC
3.117806,Total sexual iRBC
3.832369,Total sexual iRBC
2.221844,Total sexual iRBC
3.973618,Total sexual iRBC
2.762511,Total sexual iRBC
4.169653,Total sexual iRBC
4.146638,Total sexual iRBC
4.18273,Total sexual iRBC
