"","cue_range","cr","label","min","max"
"148",176400,0.40768890851531,"Asexual iRBC ",0,221928.161538538
"149",177600,0.404040156044166,"Asexual iRBC ",0,221928.161538538
"150",178800,0.400273495403522,"Asexual iRBC ",0,221928.161538538
"151",180000,0.39638904469876,"Asexual iRBC ",0,221928.161538538
"152",181200,0.392386986246518,"Asexual iRBC ",0,221928.161538538
"153",182400,0.388267573195575,"Asexual iRBC ",0,221928.161538538
"154",183600,0.384031136460696,"Asexual iRBC ",0,221928.161538538
"155",184800,0.379678091972602,"Asexual iRBC ",0,221928.161538538
"156",186000,0.375208948245751,"Asexual iRBC ",0,221928.161538538
"157",187200,0.370624314263956,"Asexual iRBC ",0,221928.161538538
"158",188400,0.365924907681867,"Asexual iRBC ",0,221928.161538538
"159",189600,0.361111563338144,"Asexual iRBC ",0,221928.161538538
"160",190800,0.35618524207356,"Asexual iRBC ",0,221928.161538538
"161",192000,0.351147039844424,"Asexual iRBC ",0,221928.161538538
"162",193200,0.345998197118441,"Asexual iRBC ",0,221928.161538538
"163",194400,0.340740108536505,"Asexual iRBC ",0,221928.161538538
"164",195600,0.335374332819906,"Asexual iRBC ",0,221928.161538538
"165",196800,0.329902602897919,"Asexual iRBC ",0,221928.161538538
"166",198000,0.324326836225827,"Asexual iRBC ",0,221928.161538538
"167",199200,0.318649145258028,"Asexual iRBC ",0,221928.161538538
"168",200400,0.312871848034912,"Asexual iRBC ",0,221928.161538538
"169",201600,0.306997478835808,"Asexual iRBC ",0,221928.161538538
"170",202800,0.301028798843272,"Asexual iRBC ",0,221928.161538538
"171",204000,0.294968806756545,"Asexual iRBC ",0,221928.161538538
"172",205200,0.288820749283876,"Asexual iRBC ",0,221928.161538538
"173",206400,0.282588131434913,"Asexual iRBC ",0,221928.161538538
"174",207600,0.276274726525196,"Asexual iRBC ",0,221928.161538538
"175",208800,0.269884585795257,"Asexual iRBC ",0,221928.161538538
"176",210000,0.2634220475368,"Asexual iRBC ",0,221928.161538538
"177",211200,0.256891745608016,"Asexual iRBC ",0,221928.161538538
"178",212400,0.250298617209428,"Asexual iRBC ",0,221928.161538538
"179",213600,0.243647909780725,"Asexual iRBC ",0,221928.161538538
"180",214800,0.236945186868067,"Asexual iRBC ",0,221928.161538538
"181",216000,0.230196332800465,"Asexual iRBC ",0,221928.161538538
"182",217200,0.223407556003108,"Asexual iRBC ",0,221928.161538538
"183",218400,0.216585390765395,"Asexual iRBC ",0,221928.161538538
"184",219600,0.209736697271865,"Asexual iRBC ",0,221928.161538538
"185",220800,0.202868659695755,"Asexual iRBC ",0,221928.161538538
"186",1,0,"Asexual iRBC log10",0,251912.347863507
"187",1.0031263302383,0,"Asexual iRBC log10",0,251912.347863507
"188",1.00626243441735,0,"Asexual iRBC log10",0,251912.347863507
"189",1.00940834309373,0,"Asexual iRBC log10",0,251912.347863507
"190",1.01256408691953,0,"Asexual iRBC log10",0,251912.347863507
"191",1.01572969664268,0,"Asexual iRBC log10",0,251912.347863507
"192",1.01890520310723,0,"Asexual iRBC log10",0,251912.347863507
"193",1.02209063725366,0,"Asexual iRBC log10",0,251912.347863507
"194",1.02528603011919,0,"Asexual iRBC log10",0,251912.347863507
"195",1.02849141283805,0,"Asexual iRBC log10",0,251912.347863507
"196",1.03170681664183,0,"Asexual iRBC log10",0,251912.347863507
"197",1.03493227285976,0,"Asexual iRBC log10",0,251912.347863507
"198",1.03816781291899,0,"Asexual iRBC log10",0,251912.347863507
"199",1.04141346834494,0,"Asexual iRBC log10",0,251912.347863507
"200",1.04466927076159,0,"Asexual iRBC log10",0,251912.347863507
"201",1.04793525189179,0,"Asexual iRBC log10",0,251912.347863507
"202",1.05121144355756,0,"Asexual iRBC log10",0,251912.347863507
"203",1.0544978776804,0,"Asexual iRBC log10",0,251912.347863507
"204",1.05779458628161,0,"Asexual iRBC log10",0,251912.347863507
"205",1.0611016014826,0,"Asexual iRBC log10",0,251912.347863507
