"","mut_id","res_id","fitness_final","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt","res_var1","res_var2","res_var3","res_var4","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"54","G1+G2_none","R_none",-0.469320270487697,1.15461169968364,-36.3718800224845,452.564977847919,-4991.25976662672,-88.36793,136.04925,65.44548,98.14261,"G1+G2","none","R","none","G1+G2","R"
"55","G1+G2_none","sum_log",-0.573625839762328,1.09303647901426,-35.527366954971,465.237587991884,-4997.96403664106,435.1835,-565.3985,-395.7242,-446.595,"G1+G2","none","sum","log","G1+G2","sum log"
"56","G1+G2_none","sum_none",-0.365373965889539,1.13370888213059,-36.387491561328,463.725020664529,-4998.19935397691,1.86014,-25.61573,257.60126,-2823.09564,"G1+G2","none","sum","none","G1+G2","sum"
"57","I-i_log","G-i_log",-0.164531994355358,381.11746943359,-529.958194574059,-321.835392532651,-404.423975480632,1.762225,-4.329505,2.548675,-6.726894,"I","log","G","log","I log","G log"
"58","I-i_log","G-i_none",0.538557809714131,380.037060017928,-532.086986413075,-319.493006418408,-403.748376492795,1.352967,-165.891572,61.230266,-7.374788,"I","log","G","none","I log","G"
"59","I-i_log","G1+G2_log",1.11241357728023,407.06882550917,-473.958463972727,-401.737240981638,-404.872298200277,12.106219,-21.043524,-5.010265,-16.928459,"I","log","G1+G2","log","I log","G1+G2 log"
"60","I-i_log","G1+G2_none",0.638375734976941,381.097019174775,-530.258838481926,-322.101242965098,-404.062042265646,1,-21.911779,338.36246,-4999.99966,"I","log","G1+G2","none","I log","G1+G2"
"61","I-i_log","I-i_none",0.107051099015907,381.180503660335,-529.903093228923,-322.187529224098,-404.240078416242,1.931059,-63.78682,1295.819775,-31.58044,"I","log","I","none","I log","I"
"62","I-i_log","I1+I2_log",0.00410596064289059,381.718793438003,-528.336906756657,-324.289335620772,-404.020711653747,404.617,-529.2684,-365.0516,-417.0552,"I","log","I1+I2","log","I log","I1+I2 log"
"63","I-i_log","I1+I2_none",0.744635304896681,382.08222701139,-527.415270616599,-326.086923772021,-403.365160976378,0.9999999,-9.1650326,-71.7214007,4998.79439,"I","log","I1+I2","none","I log","I1+I2"
"64","I-i_log","Ig-i_log",-0.133428012001241,380.786591398726,-530.811998750322,-320.760687138319,-404.496177204628,2.189146,-5.450051,4.543525,-9.356682,"I","log","Ig","log","I log","Ig log"
"65","I-i_log","Ig-i_none",0.544665623091809,379.217704595261,-534.394986359573,-315.187522921985,-405.135078870714,1.096857,-80.496897,1412.461014,3.463079,"I","log","Ig","none","I log","Ig"
"66","I-i_log","Ig1+Ig2_none",0.823519266501378,383.869685777604,-523.877174246897,-334.725469142322,-400.432207751892,1,-32.831645,378.108931,-4999.999969,"I","log","Ig1+Ig2","none","I log","Ig1+Ig2"
"67","I-i_log","R_log",-0.0311970006701277,379.940788516832,-532.833744849682,-317.350366977111,-405.17218566035,-971.1975,1175.9801,931.5406,978.087,"I","log","R","log","I log","R log"
"68","I-i_log","R_none",-0.0609657855105836,380.647249168277,-531.873072849947,-319.545024820809,-404.977640389123,-88.36793,136.04925,65.44548,98.14261,"I","log","R","none","I log","R"
"69","I-i_log","sum_log",-0.0587790182044725,381.866758798451,-527.919224067815,-324.996577019068,-403.860279093487,435.1835,-565.3985,-395.7242,-446.595,"I","log","sum","log","I log","sum log"
"70","I-i_log","sum_none",0.0642856323056185,380.92828068298,-530.974413780397,-320.837721957271,-404.732020713098,1.86014,-25.61573,257.60126,-2823.09564,"I","log","sum","none","I log","sum"
"71","I-i_none","G-i_log",-0.271168103981558,1.99166065140795,-64.7836005078236,1295.78717158351,-31.5785448446555,1.762225,-4.329505,2.548675,-6.726894,"I","none","G","log","I","G log"
"72","I-i_none","G-i_none",0.399771651884451,1.69214517584432,-68.4691740998445,1685.06094204108,-79.0778956284453,1.352967,-165.891572,61.230266,-7.374788,"I","none","G","none","I","G"
"73","I-i_none","G1+G2_log",1.0679668975141,4.45935454879209,-97.0582835401564,1294.82728871,-31.5797989237249,12.106219,-21.043524,-5.010265,-16.928459,"I","none","G1+G2","log","I","G1+G2 log"
"74","I-i_none","G1+G2_none",0.420621178536508,1.91434063064367,-64.4866734966298,1295.82006056398,-31.5558771253797,1,-21.911779,338.36246,-4999.99966,"I","none","G1+G2","none","I","G1+G2"
"75","I-i_none","I-i_log",-0.105093916721637,1.93947765356101,-59.9691983570202,1150.73242816117,15.7309084251973,381.7701,-528.2317,-324.5508,-403.8235,"I","none","I","log","I","I log"
"76","I-i_none","I1+I2_log",-0.101393692504685,1.9543712008369,-64.567414961081,1309.77943603914,14.1045608824734,404.617,-529.2684,-365.0516,-417.0552,"I","none","I1+I2","log","I","I1+I2 log"
"77","I-i_none","I1+I2_none",0.613807576545734,1.87639882845198,-61.2658116425505,1197.75472718474,26.3953788120096,0.9999999,-9.1650326,-71.7214007,4998.79439,"I","none","I1+I2","none","I","I1+I2"
"78","I-i_none","Ig-i_log",-0.253790288186856,1.91474079501685,-64.3484210534491,1328.13397855965,58.0271305082554,2.189146,-5.450051,4.543525,-9.356682,"I","none","Ig","log","I","Ig log"
"79","I-i_none","Ig-i_none",0.376378246937774,1.76585269919347,-61.5975737449024,1295.89437003871,-31.5831877374337,1.096857,-80.496897,1412.461014,3.463079,"I","none","Ig","none","I","Ig"
"80","I-i_none","Ig1+Ig2_none",0.612598642900129,1.73138943169884,-61.045472581058,1295.93943134199,-31.5874643520507,1,-32.831645,378.108931,-4999.999969,"I","none","Ig1+Ig2","none","I","Ig1+Ig2"
"81","I-i_none","R_log",-0.153785395546761,1.9403750287176,-64.0079145142023,1295.81149152763,-31.557772699651,-971.1975,1175.9801,931.5406,978.087,"I","none","R","log","I","R log"
"82","I-i_none","R_none",-0.176853565253666,1.96730702076126,-65.8274947533763,1349.59285024931,71.0109768016312,-88.36793,136.04925,65.44548,98.14261,"I","none","R","none","I","R"
"83","I-i_none","sum_log",-0.160705680517672,1.96421717340146,-70.0634730690355,1523.68570691673,-33.5310777375106,435.1835,-565.3985,-395.7242,-446.595,"I","none","sum","log","I","sum log"
"84","I-i_none","sum_none",-0.046542573270254,1.91996136167714,-63.6140605704893,1295.83407283193,-31.5766711935589,1.86014,-25.61573,257.60126,-2823.09564,"I","none","sum","none","I","sum"
"85","I1+I2_log","G-i_log",-0.180874227242786,403.604274991309,-531.385439656905,-361.756667850241,-417.020245129206,1.762225,-4.329505,2.548675,-6.726894,"I1+I2","log","G","log","I1+I2 log","G log"
"86","I1+I2_log","G-i_none",0.484347345715131,4.62072392937209,10.7171656595645,-14.6318198905484,0.0601784295633137,1.352967,-165.891572,61.230266,-7.374788,"I1+I2","log","G","none","I1+I2 log","G"
"87","I1+I2_log","G1+G2_log",1.17634953797185,420.136317654742,-487.189993112601,-406.841041482838,-423.574605578569,12.106219,-21.043524,-5.010265,-16.928459,"I1+I2","log","G1+G2","log","I1+I2 log","G1+G2 log"
"88","I1+I2_log","G1+G2_none",0.628810324673289,403.064303966906,-534.460281469582,-359.585851058299,-417.001854163839,1,-21.911779,338.36246,-4999.99966,"I1+I2","log","G1+G2","none","I1+I2 log","G1+G2"
"89","I1+I2_log","I-i_log",0.0027872349096012,405.120186321451,-527.975380266571,-366.469702748026,-417.155651527887,381.7701,-528.2317,-324.5508,-403.8235,"I1+I2","log","I","log","I1+I2 log","I log"
"90","I1+I2_log","I-i_none",0.103921166388492,404.363082606363,-530.249996722249,-363.997610971859,-417.081548625407,1.931059,-63.78682,1295.819775,-31.58044,"I1+I2","log","I","none","I1+I2 log","I"
"91","I1+I2_log","I1+I2_none",0.747781724137504,403.510726492154,-531.027999847505,-362.268246281903,-416.70380879316,0.9999999,-9.1650326,-71.7214007,4998.79439,"I1+I2","log","I1+I2","none","I1+I2 log","I1+I2"
"92","I1+I2_log","Ig-i_log",-0.168080925889502,559.964062499974,-739.012263800914,-502.482209524482,-577.871753432479,2.189146,-5.450051,4.543525,-9.356682,"I1+I2","log","Ig","log","I1+I2 log","Ig log"
"93","I1+I2_log","Ig-i_none",0.519871377491081,401.849068439263,-538.017279274919,-355.439900708808,-417.043447571468,1.096857,-80.496897,1412.461014,3.463079,"I1+I2","log","Ig","none","I1+I2 log","Ig"
"94","I1+I2_log","Ig1+Ig2_none",0.779332031721162,405.07761888596,-526.673073546813,-370.788002241825,-414.04217027444,1,-32.831645,378.108931,-4999.999969,"I1+I2","log","Ig1+Ig2","none","I1+I2 log","Ig1+Ig2"
"95","I1+I2_log","R_log",-0.0688816208532477,403.259108534703,-533.593772312268,-360.066797807082,-417.187529780388,-971.1975,1175.9801,931.5406,978.087,"I1+I2","log","R","log","I1+I2 log","R log"
"96","I1+I2_log","R_none",-0.0967940666407863,403.277648338983,-532.680050682619,-360.662960713342,-416.971417194797,-88.36793,136.04925,65.44548,98.14261,"I1+I2","log","R","none","I1+I2 log","R"
"97","I1+I2_log","sum_log",-0.071668045872836,405.248348388189,-527.563410350103,-367.275086262332,-416.963473666389,435.1835,-565.3985,-395.7242,-446.595,"I1+I2","log","sum","log","I1+I2 log","sum log"
"98","I1+I2_log","sum_none",0.0423071509337265,451.154647982437,-592.651220612125,-406.021013807408,-465.289763450906,1.86014,-25.61573,257.60126,-2823.09564,"I1+I2","log","sum","none","I1+I2 log","sum"
"99","I1+I2_none","G-i_log",-0.296595552224628,1.95495876050244,-28.0172381747387,219.129501339114,11.7717962096806,1.762225,-4.329505,2.548675,-6.726894,"I1+I2","none","G","log","I1+I2","G log"
"100","I1+I2_none","G-i_none",0.256120597454343,1.61672583977839,-38.8364664061787,472.671428726345,12.7566980035446,1.352967,-165.891572,61.230266,-7.374788,"I1+I2","none","G","none","I1+I2","G"
