"","V1","label"
"391","4.67930006571247","Total asexual iRBC"
"392","1.92441789819276","Total asexual iRBC"
"393","4.73904191802527","Total asexual iRBC"
"394","4.71633479387128","Total asexual iRBC"
"395","4.70236391427097","Total asexual iRBC"
"396","4.72351681582834","Total asexual iRBC"
"397","2.83651477030477","Total asexual iRBC"
"398","3.85849775641762","Total asexual iRBC"
"399","4.0190115999367","Total asexual iRBC"
"400","4.44965760762603","Total asexual iRBC"
"401","2.6116469427731","Total asexual iRBC"
"402","3.72741403932831","Total asexual iRBC"
"403","4.76810336935564","Total asexual iRBC"
"404","2.0441539693624","Total asexual iRBC"
"405","1.90049455746591","Total asexual iRBC"
"406","4.61082939451704","Total asexual iRBC"
"407","2.37642367891098","Total asexual iRBC"
"408","2.1889358024406","Total asexual iRBC"
"409","4.29730625183457","Total asexual iRBC"
"410","4.27340681796711","Total asexual iRBC"
"411","2.73591819855373","Total asexual iRBC"
"412","3.90968253383681","Total asexual iRBC"
"413","4.6771803747686","Total asexual iRBC"
"414","3.11789835750519","Total asexual iRBC"
"415","4.56088344004714","Total asexual iRBC"
"416","4.69747692377164","Total asexual iRBC"
"417","4.17373394731975","Total asexual iRBC"
"418","4.7241284734652","Total asexual iRBC"
"419","4.34162964863043","Total asexual iRBC"
"420","3.72705347886282","Total asexual iRBC"
"421","1.91350205517039","Total asexual iRBC"
"422","2.18502353883322","Total asexual iRBC"
"423","4.37802237831641","Total asexual iRBC"
"424","2.18012000894919","Total asexual iRBC"
"425","2.23771150896548","Total asexual iRBC"
"426","4.50036043340077","Total asexual iRBC"
"427","4.71967289033025","Total asexual iRBC"
"428","3.15712242975296","Total asexual iRBC"
"429","2.15204930270774","Total asexual iRBC"
"430","3.40912945291553","Total asexual iRBC"
"431","2.91290471042906","Total asexual iRBC"
"432","4.71120256463192","Total asexual iRBC"
"433","1.6489369468514","Total asexual iRBC"
"434","4.52489764570173","Total asexual iRBC"
"435","3.95819643381118","Total asexual iRBC"
"436","4.02867659321203","Total asexual iRBC"
"437","1.95300213018674","Total asexual iRBC"
"438","1.86783942547675","Total asexual iRBC"
"439","3.03815521997196","Total asexual iRBC"
"440","4.70513202109688","Total asexual iRBC"
"441","1.94927956553829","Total asexual iRBC"
"442","2.04339649055477","Total asexual iRBC"
"443","4.73425815863272","Total asexual iRBC"
"444","4.20110337903906","Total asexual iRBC"
"445","1.95496744892276","Total asexual iRBC"
"446","3.35873575211545","Total asexual iRBC"
